geo,Region,Unemployment_BABS,Unemployment_HS,Poverty_BABS,Poverty_HS,Working Poor_BABS,Working Poor_HS,Full Time_BABS,Full Time_HS,Rent Burden_BABS,Rent Burden_HS,Homeownership_BABS,Homeownership_HS,Income_BABS,Income_HS
"Orange County (Southeast) PUMA, New York",Mid-Hudson,0.6728455467,0,0,0.2746090715,0,0,1.0962258926,1.2051082378,1.3529084604,0,0.8635844633,1.052569823,1.4827334226,0.868819682
"Oswego County PUMA, New York",Central NY,0,2.3662034078,0,1.0894120581,0,0.3241316823,0.8869080449,1.0464516232,0,0,0.8485120051,1.0181353166,0.8465517953,0.7672376028
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,2.9863842663,9.6942418102,0.5804811508,0.6000189526,0,0.7346569586,0.7846777325,0.6439909609,0,0,0.8724772135,1.127687811,3.7557497136,0.9948027757
"Putnam County PUMA, New York",Mid-Hudson,1.9564360948,1.9380212456,41.8144486131,4.2836867162,0.1067215764,0.2865293345,0.9359582502,0.9391262653,9.5334474508,18.3299604996,0.8719892709,0.8132316135,0.6046102593,0.6734182523
"Rensselaer County--Troy City PUMA, New York",Capital Region,4.9144336886,0,5.2043481631,0.654494943,0.4296757319,0,0.7471641924,1.289434415,1.8385973878,#DIV/0!,0.2987461845,1.4655537526,0.6592718711,1.321578536
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,0,0,5.0889629406,0.9757925196,0,0.0479224442,0.8358331029,1.1273524706,2.499854165,0.9044829209,0.8202600955,1.0135158023,0.8877799934,0.6707418467
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,0,0,0,0.9502102726,0,0,1.1515547531,1.0698953816,4.3098697583,1.8210279263,1.1222483135,0.973940752,0.7934965729,1.3741220755
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,0,0.9965835673,3.7262879475,0.8268540554,0.1833987294,0.2805460513,1.1988714063,1.1809537345,1.5370610871,0.5946104987,0.7506468329,0.5535558932,0.9702735628,0.8316224887
"Saratoga County (Outer) PUMA, New York",Capital Region,19.9894041386,5.6690026419,5.862077758,1.6259541985,0.479611264,0.3988162224,0.8089869663,0.9428747807,0,0,0.7087100931,0.9232411508,0.6094887762,0.8535721268
"Saratoga County (South & Central) PUMA, New York",Capital Region,4.6098238032,0,0.5403065117,0.3269856637,0.0531441737,0.0983174418,0.9530181995,0.5295494367,0,1.7224212665,0.8757405582,1.1702066157,1.0394454346,0.5746869109
"Schenectady County--Schenectady City PUMA, New York",Capital Region,0,1.8085790094,2.4128839477,0.9338730363,0.0761105066,0.179806177,0.9717528245,1.0697353273,1.7185278706,3.5702280912,0.8223702154,1.3375155984,0.9876327843,1.2927667577
"St. Lawrence County PUMA, New York",North Country,0,0,0,1.0045819313,0,0.0540285689,1.2189922481,0.8733489759,0,2.596132287,0.6146502511,0.6418682232,1.8977608018,0.9184587512
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,#DIV/0!,0,0,2.5299144776,#DIV/0!,0,0,1.2190361928,#DIV/0!,0,1.0905336376,0.4333373136,#VALUE!,0.9598241983
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,0.6190206516,0,0.8686062852,3.2053692396,0.0669951793,0.1485389601,1.0632291964,0.9979813501,#DIV/0!,1.2359884153,0.7838837196,0.45073946,0.9286840371,0.6649557579
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,0,2.8431305155,1.2708673859,1.7266909189,0.0352570101,0.2553257115,1.1117567284,0.5204244203,0,0,0.6165166694,1.0671170729,1.4104614431,0.7414407118
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,0,0,0,2.0566209314,0,0.1534288065,0.7965742151,0.9745204736,1.355015674,0.8511285633,0.8516310795,0.8705747275,0.9846878745,0.6247095448
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,0.5480148892,0.0430732614,0.3783728527,1.0476656306,0.0202666885,0.1101022256,0.9317818427,0.9811485138,#DIV/0!,0.5810863181,1.0708379911,1.1475035356,0.7861375844,0.8890131127
"Suffolk County (East) PUMA, New York",Long Island,0,0.7757616921,4.5036759856,1.2045828044,0.144732572,0.1653638096,1.1348719161,0.8173195674,0,1.1169651726,0.9818353329,0.7311603693,1.2703687573,0.9212948386
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,3.0311993606,0,1.3237333528,2.4712750297,0,0,0.9013522602,0.6966306909,0.726938317,42.8717948718,1.0407007718,0.7683349978,1.1447865716,1.6336182985
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,1.3256845297,0,13.3086922668,0.8979259583,0.2128144496,0,0.9358051409,0.8428959263,24.1916853933,2.0352301265,0.9417889604,1.0038309406,0.5069723949,0.7161962791
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,0,2.0658920603,0.7662349051,2.0761991645,0.0385256928,0.2591102914,1.0944369346,1.1633135679,#DIV/0!,#DIV/0!,1.040553131,1.1396311356,0.8368208115,0.5344360358
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,0.682640445,0,0,1.2662945296,0,0,0.9480247177,1.1739945946,0,0,0.8236424911,0.8275878472,1.0094334757,1.0092346043
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,1.9924981233,0.9037212889,3.9566699029,0.5780950913,0.3143037145,0.0363848509,0.892537548,1.0831569687,0.6406337917,0.5112957231,0.821458521,1.0738720345,0.3821857513,0.8326072175
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,1.001721228,0.9106029392,5.0512077805,5.9059463645,0,0.1290198817,1.1266261925,0.8255349684,0,11.1803312221,1.0902261535,1.0808966191,0.6865765164,0.5268638794
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,0,0.8804194795,0.6577655694,4.8655653395,0,0.266210819,1.0876368525,1.0900323875,0,0.6955438237,0.978466641,0.7649002516,0.8818901754,0.5972421489
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,1.0127096867,0,0,1.5218581383,0,0.187392875,1.0530959346,0.940349318,0,0.6467431243,0.8340156979,0.8578521917,0.8917423316,0.9243685903
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,0,0,1.1897731558,1.6931286928,0.1016929819,0.2753237499,0.9550212782,0.9992507838,0,2.1281805725,1.0770215817,0.5072514712,0.9610637601,0.919164564
"Tompkins County PUMA, New York",Southern Tier,0,0,2.6296780203,1.1849006635,0.0801454638,0.2946736232,1.1777172136,1.2605585086,1.6000389175,0,0.4602231083,0.2806774759,1.004911616,1.5657924227
"Ulster County (East) PUMA, New York",Mid-Hudson,1.0783002008,0,3.1156942075,1.6878433516,0.2908310729,0.3447811648,0.6084279193,1.0786275018,3.6271597841,0.7578185164,0.7671369366,0.5286065799,1.1676086325,0.6840765358
"Warren & Washington Counties PUMA, New York",Capital Region,0,0,0,1.4949428926,0,0.1161717015,1.2100918282,0.6973859323,0,0,0.2719753386,1.0721625831,0.3824298718,0.8958376604
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,0,0,3.9552408487,0,0.4938992197,0,1.0174247439,0.2185777124,0,0,0.4183047315,0.3664377037,0.7191432816,1.4336472224
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,1.1699052856,1.396236196,1.6814081372,2.2388157099,0.0826311564,0.2597360864,1.0965070354,1.0096191857,2.2145645794,1.8846610092,0.8129077256,0.8572561081,0.9089750382,0.5997715207
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,1.7103540369,1.4070039244,4.169455664,3.8450677562,0.0208523117,0.1020035554,1.1486427443,0.965734998,0,2.7504542907,0.7833181269,0.7389453085,0.5608224528,0.3810756837
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,3.0521134916,1.7249574574,2.5553424184,0.5211832745,0.0126751499,0.1226245963,0.9526593061,0.981514878,0,1.0301596196,0.8828676352,0.4400359037,0.7276756934,0.4749411732
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,1.9248153753,1.2635655252,2.7167142124,1.3233994123,0,0.1815306281,0.9247962111,0.9469072843,1.9911287913,1.3488514837,0.7352357817,0.7063037415,1.000611249,0.9348121401
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,0.7985927579,2.8343773662,0.2548329104,0.7227715634,0,0.0414584131,1.1616165577,0.9405252696,0,0.7161390212,0.6864312666,0.8330995915,0.6856111345,0.8672365699
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,0.4307904143,1.2542721289,0.8868538726,1.268718659,0.0229788898,0.1655865673,0.9316794918,0.9665516768,1.0798215171,0.8822512864,0.7709185644,0.8801988755,0.9963374839,0.994222972
