,,Unemployment,,Poverty,,Working Poor,,FT Work Access,,Rent Burden,,Homeownership,,Income,
,,BABS,HS,BABS,HS,BABS,BABS,BABS,HS,BABS,HS,BABS,HS,BABS,HS
"Madison & Cortland Counties PUMA, New York",Central NY,#DIV/0!,0,#DIV/0!,2.22954484698814,#DIV/0!,6.07709477575032,#DIV/0!,1.22104823553978,#DIV/0!,0,#DIV/0!,2.65685633798941,#DIV/0!,0.42139547667638
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,#DIV/0!,0,2.1041049003933,0,0,0,0.666638481732356,1.22378828677213,#DIV/0!,#DIV/0!,8.02753327078344,5.32473376331183,0.825233992681659,0.802267824601505
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,19.3397320651859,0,1.25711484647161,0.782293136988621,0.945064367138365,1.18620074135387,0.901530925687635,0.849135338470792,3.39376675603217,1.51879652155567,1.7900813680933,0.516437715156713,0.764628546600507,0.64061345701383
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,0,0,1.09470069512744,1.57549342105263,0,2.61798133978287,0.698160513223357,1.13585954192522,38.3157894736842,0.538437483411617,3.12410053335786,0.536810715717118,0.896955547349466,0.571791336967318
"Monroe County (East) PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.16541415818974,1.27680726353293,0,#DIV/0!,1.52552855747123,5.55423626484202,1.19888244297027,0.696060116710083
"Monroe County (North & West) PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.16786215499766,1.27375012229723,#DIV/0!,#DIV/0!,6.90853658536585,5.02729738894541,1.72427797641017,1.46973809267189
"Monroe County (South) PUMA, New York",Finger Lakes,0,0,2.3701983551965,1.96173682816045,0,7.31380597014925,0.992976913405699,1.19260650992739,1.72550587710162,#DIV/0!,4.23490650495096,4.34448420725066,1.01623870707547,0.557936870611753
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,0,2.06491193515187,0,1.12995651280646,#DIV/0!,0,1.075386950367,1.05787672049808,#DIV/0!,#DIV/0!,16.5635593220339,7.66435607442539,1.02817457409836,0.779011989101681
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,0,2.80134413803307,2.18570526909493,1.81621114172537,#DIV/0!,4.66025722135859,1.04223699648025,0.880090594100055,0,2.52485549132948,3.21217125903432,4.0811514067328,0.643340890530282,0.441600779034168
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,1.32148577133354,1.44901746282566,0,0.377193343548768,0,1.12262391559621,0.983743121118797,1.11732801625261,#DIV/0!,1.55828696228809,8.71139615194869,10.7726200340411,0.803119706155281,0.834417506761999
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,0.574041620341581,0,1.13029668878104,1.2467758653411,0,#DIV/0!,1.11066198258566,0.951807844810725,0.662255579695832,0,17.1988032500141,55.5580805399219,0.655215113532027,1.33056232289344
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,1.49818694861085,0,2.25162772542583,2.77401402238853,5.50160518762624,10.6876405049532,1.12118659648647,1.27988948770009,2.40332477017473,1.49194463353755,7.77653634981511,3.72317653158284,0.569947177593684,0.686416894567243
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,0.615891756435161,3.65484351161214,0.882606254665704,0.29363634612421,0,0.46438267063327,1.23312017615446,1.1852857816962,#DIV/0!,0,6.9945786392019,1.780874730069,0.4875607043976,0.794542887757501
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,13.9765480055659,0.825866034292749,0,4.19011116403761,0,11.5544712313407,1.15288522961175,1.13060640195756,0,1.51119781743915,7.50435221312337,6.75137739368513,0.47525456775959,0.443824384115276
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,0,0,0,0,0,0,0.988110403194633,1.03549395568756,#DIV/0!,#DIV/0!,15.9788285109386,8.49303713527852,0.796821939791604,0.594727742721761
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,0,0.667439262502766,0,12.7032460107392,0,7.00473778027958,1.15013789933349,0.70955864567223,0,3.65980887322408,2.58211855021363,2.25438892272286,0.719292102030033,1.05994814782858
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,1.13398168477547,0.219980077808937,6.80593433281467,0.492592221195575,#DIV/0!,#DIV/0!,1.09846560598084,1.03746431081914,0,0,16.7490397261912,9.71881355590906,0.822913688425519,0.576376704918065
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,0,1.31000689802812,0,1.34716170683772,0,3.15512663398693,1.08082253961502,1.13838765008576,0,18.4266666666667,8.29809207407729,8.16606075025315,0.497948691728604,0.762051905623024
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,1.15282870191689,0,2.14761493669172,0.312950169546041,#DIV/0!,#DIV/0!,1.12149369098605,1.09121792077788,0.844705200637404,0,8.40779599341306,6.17704298955603,0.776614830546863,0.832758115720115
"Niagara County (North & East) PUMA, New York",Western NY,#DIV/0!,6.08287949921753,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5.97732997481108,#DIV/0!,2.32963475320383,#DIV/0!,#DIV/0!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,0,3.42446363889663,6.57719226018938,2.8109007458405,0,8.72790058148078,1.16626426690079,1.04968111009214,#DIV/0!,0,1.96748768472906,4.09427043544691,0.233597665122632,0.322462551865574
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,#DIV/0!,#DIV/0!,#DIV/0!,2.09724597381299,#DIV/0!,#DIV/0!,0.901664730933024,1.8358831193002,0.0453770044353463,0.225491787378414,0.0396461336828309,0.17052034902541,2.38181922852736,1.25160563624263
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,0.326638458321816,#DIV/0!,0.203521033169946,1.90410417307495,0.45414710485133,#DIV/0!,0.861512505037039,0.754440990367436,0,1.81788450934535,1.44204612016015,1.28519340815714,0.857160763515502,0.719378750544627
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,3.18581081081081,0.0840661238194671,0.97949349301603,1.02213695921617,#DIV/0!,0.837894702255749,1.28513069632658,0.93480676376929,3.33220973782772,1.03211841757467,0.959113334600898,0.716285893308558,0.769139258685818,0.685358663608291
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,0.800638429628939,0.798678371060932,1.97010871469927,1.36102354776827,#DIV/0!,#DIV/0!,1.09896447716176,0.832139228401518,2.34545800153425,2.97582433229593,0.919152724550837,0.492142718576325,0.67061057470743,0.886627138482618
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,#DIV/0!,#DIV/0!,#DIV/0!,0.712202452405723,#DIV/0!,#DIV/0!,0.849872773536896,1.10232189043028,#DIV/0!,0.498819396595169,0.193261754905591,0.0808434352057367,0.567993778332489,0.707243714807576
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,#DIV/0!,0.496554380171773,0.341750522118853,1.62455309801545,#DIV/0!,3.61409603673755,#DIV/0!,0.836004006009013,#DIV/0!,#DIV/0!,0.0132902980823998,0.022724945681631,#VALUE!,0.973535776940388
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,0,#DIV/0!,0.412192674952492,0.505436638824705,0.268351251858895,0.471052683872478,1.83933793631305,0.94030070754717,0.568198944988696,#DIV/0!,0,0.0684771157672949,0.872609165182313,1.9087987051038
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,0.7897147588622,#DIV/0!,0.469320031775283,#DIV/0!,#DIV/0!,#DIV/0!,0.958079493618071,1.26080713655474,0.212641247205269,#DIV/0!,0.149231193829435,0.0281023684956573,0.721449345500796,0.651620407890353
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,0,0.0601211361737678,0.822849025974026,0.693014785575556,#DIV/0!,#DIV/0!,1.14899523910008,1.06728105999484,0,0.470257366146571,0.828211717130914,0.406192248868004,0.456116041182447,0.676308834013116
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,#DIV/0!,0.945984597265716,#DIV/0!,0.46949113045818,#DIV/0!,0.651052220440623,0.799071131752628,0.75,#DIV/0!,0.305284177181722,1.49129836169496,0.245348545738289,0.396437811736938,0.901874473338571
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,1.21336863857091,0,2.76966624965004,0.930549510552461,0,1.42098876984639,0.664682673253545,1.11165718318532,2.16045229711603,0.407435811632073,0.382206367631251,0.247613462499425,1.05278504481022,0.925689708983494
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,1.93562803945036,0.166133025956284,2.60191118884785,2.85211366999776,3.97024993933511,3.93420693096361,1.122926887103,0.689232695805783,2.66893055273662,1.96678680431917,1.21489634615965,0.366983612310068,0.681075895376044,0.531959329895847
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,0.253936170811456,0.233332206898537,1.24071653983731,1.77969514503549,2.42440101140826,15.2151105551969,1.1320915878436,1.11437882497286,0.834191825440831,1.92784818638453,1.035862185246,1.08004068074765,0.898236213362985,0.66462954778719
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,0,0.620824516728954,3.88039365228359,0.957713237570438,15.8097872340426,0.719159893130141,1.08440790321258,0.815990573332426,1.95061751152074,0.890751762484546,0.48730133086732,0.34580097111494,0.605355341274702,0.607478492618814
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,#DIV/0!,0,1.10038575430172,1.58619588452911,3.16947741976006,1.90334001981777,1.02594580740699,1.16931486283881,#DIV/0!,7.83518897655909,1.5805623183853,0.721694803372246,1.08867999898229,0.986442343841042
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,0.304312456340469,0.937529511646558,2.56109582272487,1.02425792005447,2.68326682904078,2.3307557501372,1.01853843508826,1.14132536001145,2.18495564467128,0.716793654458155,0.438364877094054,0.0930563751687035,0.953853788941247,0.61783477102308
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,#DIV/0!,0.551406193078324,0.826494651161174,2.99834866819821,3.5093962415034,3.41506373781562,1.14147512256832,0.852499671139174,0,0.336586569482753,1.38711579526677,1.53463363315882,0.649199700447324,0.597939686356805
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,0,#DIV/0!,0.130511735282801,0.372719298245614,#DIV/0!,0.128427590401946,1.47319768642842,0.676793794440853,#DIV/0!,0.203023459364836,0.412610619469027,0.0905472312703583,1.85741808518996,1.71536896640752
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,#DIV/0!,0.329060499995382,#DIV/0!,1.56803423848878,#DIV/0!,#DIV/0!,1.1007816915945,0.794291151284491,#DIV/0!,#DIV/0!,0.78931739485368,0.433697881066302,0.612634600406971,0.835852395846805
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,0.382966524059454,0.890917433385112,2.429453615853,2.99183992988673,#DIV/0!,4.92898903631202,1.10227092207737,0.859499262707434,0.420606030384628,1.2367099114314,5.89195706341182,3.21475932249387,0.717975310358983,0.673109623614269
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,1.68894669055593,0.818981665436794,2.28872809234917,1.09980761869564,0,3.95677953685589,0.940398301783737,0.978242816807839,2.27864758858215,2.26831157372394,0.635622613621385,0.201317810179109,0.803490763178614,0.344554753743607
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,0.649891067538126,1.57888349514563,2.3837248510734,1.00438088261303,3.74453372131992,0.979312427595878,0.810486769722025,1.23024946679385,7.15585339604592,0.974266931926304,0.201951431515231,0.176620690950298,0.479097133676861,0.851390108498702
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,0.526785507074468,0.337585491317166,1.7602757943409,2.33722038079007,2.26952318887803,15.1709401709402,0.544851342069777,1.19425701495796,2.12762342289577,2.06595484062219,0.0928600804612153,0.11690316145061,0.763493004211713,0.795558870807919
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,#DIV/0!,#DIV/0!,#DIV/0!,2.55699587923774,#DIV/0!,#DIV/0!,1.06298054435985,1.3210367595021,#DIV/0!,0.969440330741701,3.96238543030592,0.49146120881159,1.8675138504743,0.436992990992558
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,1.65250634055122,0,2.83105430337357,5.44398376745484,0,7.96843840778833,1.09982490611542,0.746674519807625,0,3.29206682577566,0.969530076594124,1.19273832573439,0.766192247082507,0.379061962563359
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,3.86741221163513,1.45623824271407,1.54478340164595,0.921302777758114,1.97060143914421,1.81072273741727,1.07105027207519,1.1401554476377,0.702137165835133,0.606863335340157,0.583173487460682,0.352922243749233,1.09606069794463,0.525633351021808
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,5.64359188212399,#DIV/0!,5.57869462882477,2.15804755075919,#DIV/0!,3.19258338769218,0.965858985411004,1.01308883911907,0.687786960514233,0.990911534169774,0.290527805511709,0.200161550183163,0.707279090444617,0.592693067139973
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,5.47849442098914,3.8692586490939,1.65516861295573,0.90127149746253,0,0.922973639450998,1.26410129912843,1.115627418889,3.03502046867591,2.38631385531308,0.464022095477326,0.0526308696805395,1.23900058386744,0.760559665538999
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,1.98778955776525,0,5.72132287003756,1.01342932870539,10.5895808879643,0,1.0683257723019,0.688687848235297,3.80710692715806,2.83315541035898,0.239228946638765,1.18657488745654,0.650793519925554,0.810283463971813
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,0,#DIV/0!,6.9062874262033,1.90830763841282,#DIV/0!,#DIV/0!,0.892118645210463,0.783862570188297,3.35697749537758,1.0067903108305,0.430853075371489,0.0801835873967883,0.561748412861388,0.535013313681217
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,2.89004659462675,0.509315806820605,0.90530914352496,0.726062987329435,1.25991693752257,0.633823285168577,0.918923510161366,0.86163753449862,1.55368528802598,0.462110106734429,0.16676863804762,0.0420792079207921,0.753333198944806,0.844172964471477
