,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,81.721395267659%,88.6794601674164%,78.5515173828433%,35.1454726728904%,13.1239759694156%,39.6151669496322%,9.66933743457446%,1.02423628892991%,12.9542188462328%,16.5812122321919%,8.68811404353689%,21.5611390284757%,41233.9506346107,52681.8638669492,31903.932373619
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,78.3896231032795%,81.1547947192804%,79.1012838801712%,42.5646551724138%,15.3177343050761%,42.8837081166707%,11.4455793817222%,7.75563258232236%,10.6328606503984%,14.5750090810025%,2.52055774043618%,18.4744530372133%,38590.9923732215,63152.391848409,30814.4763622311
"Monroe County (East) PUMA, New York",Finger Lakes,83.8734554377355%,86.2043600374482%,81.3559965094662%,5.75373993095512%,2.71560543121086%,8.03984236820058%,3.72843529703496%,1.53595768487438%,6.29117635858182%,1.77623605132277%,0.7330695834303%,2.55094902765471%,64734.7521210348,77051.2690249011,50866.7262043557
"Monroe County (North & West) PUMA, New York",Finger Lakes,81.3420586583733%,86.4446263300384%,78.39425136461%,11.0122648005807%,3.44097995545657%,14.5316276602016%,2.97868484834757%,2.64115972727874%,3.32281350890558%,6.52191266863575%,2.31609613983977%,9.06236178681999%,50712.1332342086,70217.9018208303,39481.0251189847
"Monroe County (South) PUMA, New York",Finger Lakes,85.4353953419374%,87.1279584742131%,83.1489837479535%,8.60894133289015%,3.6761009725713%,11.8088403196868%,2.0848971338409%,0.282066508313539%,4.55159981973862%,3.15758324775018%,2.22452995190206%,4.8236939848536%,84823.7362828171,104278.023393091,51018.5462229266
"Ontario & Yates Counties PUMA, New York",Finger Lakes,82.7097326362402%,83.111660995979%,81.4259197273529%,18.327462092204%,6.01397843636561%,19.7225271983232%,5.69439623587489%,2.9614630133519%,6.29193052855978%,11.6794889098844%,3.0591737997767%,11.738106805187%,55548.2642956764,87096.2408634165,43405.6066743899
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,82.4535161524878%,86.313272220008%,83.9567018413812%,20.8549534932288%,9.46504894526403%,20.546281523111%,5.64399112325026%,3.36245261249382%,4.94461290921468%,9.83899821109124%,4.38677502770595%,11.6037022364678%,48097.6518934718,65697.2475064647,41851.3019051392
FINGER LAKES,,82.5496831873148%,85.7675906183369%,81.4960159146004%,17.9508119698277%,5.636053196322%,19.9553753000281%,4.97999436097103%,1.68678125166634%,5.80550239499098%,7.99770675075247%,2.81748498031904%,9.56533763951216%,55566.6675725933,77624.457480436,42752.0033436042
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,80.4556442751447%,78.2294133122862%,82.6151034604728%,6.40940742078542%,2.89826653070829%,9.96171993234221%,7.27211147667892%,4.02296292999867%,11.8649808083089%,2.3369449755683%,0%,5.24475524475525%,96139.8899207867,110091.160417017,74312.675895533
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,82.3556565584831%,88.2703586193635%,80.5945180800412%,19.3881769326168%,9.52105697770438%,20.0512151519544%,8.11832897434085%,4.21032394501586%,8.94440489288719%,7.57124994610443%,3.9647097266093%,7.72792591409868%,59854.8760401845,74242.4180372508,51924.7006227048
