,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,,,,,,,,,,,,,,,,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Genesee & Orleans Counties PUMA, New York",386,129,257,78,0,78,308,129,179,41,14,27,0,0,0,41,14,27,252,54,198,46,0,46,206,54,152,93,61,32,32,0,32,61,61,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",612,310,302,82,82,0,530,228,302,18,0,18,0,0,0,18,0,18,398,266,132,82,82,0,316,184,132,196,44,152,0,0,0,196,44,152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Niagara County (North & East) PUMA, New York",332,125,207,88,0,88,244,125,119,0,0,0,0,0,0,0,0,0,88,0,88,88,0,88,0,0,0,244,125,119,0,0,0,244,125,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (Northwest) PUMA, New York",1976,1224,752,201,0,201,1775,1224,551,541,313,228,134,0,134,407,313,94,1298,911,387,0,0,0,1298,911,387,137,0,137,67,0,67,70,0,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (North Central) PUMA, New York",3584,1610,1974,563,157,406,3021,1453,1568,2737,1472,1265,157,157,0,2580,1315,1265,346,138,208,102,0,102,244,138,106,501,0,501,304,0,304,197,0,197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (Northeast) PUMA, New York",786,423,363,274,0,274,512,423,89,403,272,131,42,0,42,361,272,89,383,151,232,232,0,232,151,151,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (Central) PUMA, New York",2896,1624,1272,525,326,199,2371,1298,1073,1079,515,564,180,90,90,899,425,474,1513,935,578,168,124,44,1345,811,534,304,174,130,177,112,65,127,62,65,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (West Central)--Buffalo City (East) PUMA, New York",883,520,363,212,52,160,671,468,203,286,53,233,160,0,160,126,53,73,469,421,48,52,52,0,417,369,48,128,46,82,0,0,0,128,46,82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (West Central)--Buffalo City (West) PUMA, New York",3631,2109,1522,1439,515,924,2192,1594,598,1604,994,610,553,328,225,1051,666,385,1467,928,539,378,0,378,1089,928,161,560,187,373,508,187,321,52,0,52,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Erie County (South) PUMA, New York",1055,816,239,145,145,0,910,671,239,606,367,239,145,145,0,461,222,239,449,449,0,0,0,0,449,449,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Livingston & Wyoming Counties PUMA, New York",616,316,300,318,253,65,298,63,235,20,20,0,0,0,0,20,20,0,596,296,300,318,253,65,278,43,235,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Ontario & Yates Counties PUMA, New York",1163,427,736,103,51,52,1060,376,684,298,177,121,0,0,0,298,177,121,777,250,527,103,51,52,674,199,475,88,0,88,0,0,0,88,0,88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Madison & Cortland Counties PUMA, New York",483,230,253,18,18,0,465,212,253,315,191,124,18,18,0,297,173,124,168,39,129,0,0,0,168,39,129,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Fulton & Montgomery Counties PUMA, New York",523,183,340,94,0,94,429,183,246,302,136,166,47,0,47,255,136,119,221,47,174,47,0,47,174,47,127,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Schenectady County--Schenectady City PUMA, New York",3211,2184,1027,383,92,291,2828,2092,736,1515,988,527,181,92,89,1334,896,438,1022,608,414,116,0,116,906,608,298,674,588,86,86,0,86,588,588,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Saratoga County (South & Central) PUMA, New York",3076,1155,1921,944,335,609,2132,820,1312,2013,862,1151,335,335,0,1678,527,1151,1063,293,770,609,0,609,454,293,161,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Saratoga County (Outer) PUMA, New York",711,353,358,187,187,0,524,166,358,358,105,253,105,105,0,253,0,253,353,248,105,82,82,0,271,166,105,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Rensselaer County--Troy City PUMA, New York",2287,1553,734,468,130,338,1819,1423,396,1227,580,647,468,130,338,759,450,309,697,610,87,0,0,0,697,610,87,363,363,0,0,0,0,363,363,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Albany County (East Central)--Albany City PUMA, New York",1288,531,757,539,234,305,749,297,452,733,412,321,418,234,184,315,178,137,365,50,315,0,0,0,365,50,315,190,69,121,121,0,121,69,69,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Albany County (Outside Albany City) PUMA, New York",5813,3671,2142,1101,0,1101,4712,3671,1041,4248,3008,1240,464,0,464,3784,3008,776,1439,537,902,637,0,637,802,537,265,126,126,0,0,0,0,126,126,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
