,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,80.9465955311394%,85.9958379238585%,79.0492318858111%,24.1332098417428%,6.50537634408602%,26.5876298134363%,9.85036170845308%,3.26256447163248%,13.1809393836006%,11.5766118506917%,2.12099644128114%,13.5424636572303%,64191.8970242756,79352.9722419929,50390.6656465187,26.905607399455%,6.24690133862172%,24.1398344066237%,45.2341642169694%,54.0430107526882%,43.1210366694238%
MID-HUDSON,,83.4068080357143%,86.5622135177932%,79.9039132119334%,19.0001464343242%,8.01973465283505%,21.8530024774863%,5.6539701525369%,3.52904176253455%,6.93658461774404%,11.1398246423627%,2.82671904184237%,11.7742471321647%,70278.2575352089,103705.212100206,47764.7678342837,30.2747176126063%,16.9875091844232%,32.5678380782918%,54.7160785471726%,68.3239520178269%,49.1433820103566%
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,82.0267686424474%,84.4370860927152%,78.7330316742082%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36944.0559440559,41831.3725490196,29781.6091954023,0%,0%,0%,52.9411764705882%,58.1447963800905%,42.5339366515837%
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,86.1042183622829%,100%,100%,39.2215568862275%,0%,46.606334841629%,0%,0%,0%,10.3746397694525%,0%,20.3389830508475%,52939.3371757925,85270,21887.2881355932,10.5555555555556%,0%,100%,70.6362153344209%,5.29411764705882%,95.0904392764858%
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,68.562002716864%,65.7594936708861%,63.8808139534884%,26.8068102849201%,4.28082191780822%,36.0077644775154%,8.58575727181545%,0%,16.5634674922601%,17.4356071327484%,7.21847930702599%,15.415244596132%,35085.372204925,49589.8171318576,29366.8373151308,18.9531680440771%,0%,17.1960569550931%,67.0257123002085%,64.4406392694064%,70.4626334519573%
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,75.2052545155993%,64.3564356435644%,52.2222222222222%,7.82608695652174%,5.72916666666667%,14.5833333333333%,14.7783251231527%,15.5115511551155%,47.7777777777778%,8.95196506550218%,0%,59.5744680851064%,146700.786026201,290758.461538462,41229.7872340426,0%,0%,0%,82.360248447205%,73.9583333333333%,84.8958333333333%
MOHAWK,,71.2769138755981%,70.4458598726115%,66.5432098765432%,23.6695387734415%,3.52983988355167%,34.135833755702%,7.94478527607362%,1.99575371549894%,15.33203125%,14.5374449339207%,4.52079566003617%,15.5380333951763%,47275.9660163625,80400.6148282098,29044.8747680891,14.9014778325123%,0%,16.1764705882353%,67.6917187699375%,61.098981077147%,72.0380364944744%
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,86.3266283524904%,90.1664730933024%,88.8330541596873%,37.556499109711%,16.5792922673657%,39.3164464913344%,3.65657216494845%,3.58342665173572%,2.91371994342291%,24.7526583448914%,0%,32.1181646763042%,33242.7766990291,42634.5641906398,31618.5622250157,12.0053496971127%,4.53770044353463%,17.0268310369833%,9.62320038575463%,3.96461336828309%,10.555963752143%
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,82.0247699125099%,86.4431486880467%,74.9663827879875%,10.7998786530488%,1.10787172011662%,14.2353377876763%,0.882253138785205%,1.10787172011662%,0.888494002665482%,3.46308352957473%,1.28161888701518%,0%,52387.9332317495,56972.9477234401,57110.3437967115,17.6299283154122%,0%,21.980122324159%,54.8132402064987%,61.9825072886297%,51.3573819263667%
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,86.4088631712653%,87.8390201224847%,85.2658403799375%,18.9774170393683%,5.0659716566216%,24.8834498834499%,7.38423879785136%,13.3695215118617%,4.80209877951409%,11.0820743160474%,0%,15.8402390979487%,48851.9020008167,70010.6175298805,39290.8708055971,18.1261323440601%,7.94793685959568%,23.1808585503167%,34.6689510334918%,39.8235870630513%,29.4677544677545%
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,78.2324840764331%,83.6627140974967%,77.2226926333616%,31.1979237809042%,32.7502791216971%,32.4149496885482%,5.67685589519651%,12.2207022343821%,2.35127478753541%,18.1559128841848%,20.6299212598425%,18.2383040935672%,51784.2357012009,59255.6955380577,45824.9451754386,34.3267407206719%,34.8689436060365%,32.6333473330533%,46.7804607271718%,51.1257763975155%,39.4484412470024%
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,81.9617980755421%,85.6969696969697%,87.5351655485826%,41.9596635030199%,18.0269694819021%,39.9077461428344%,9.28766547594032%,2.35827664399093%,8.226194209261%,24.8642018573681%,11.2211221122112%,23.3621755253399%,35455.124408621,41596.0396039604,36038.2929542645,23.8064886226018%,8.92857142857143%,24.0790572515542%,9.62540716612378%,18.5237757274663%,8.42570281124498%
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,82.6078643808553%,95.2300903551166%,83.9892446834515%,48.2951704829517%,34.1750522118853%,44.8042776432607%,8.04118501673931%,1.50392327811683%,11.2901342673672%,28.228668415368%,23.4995586937334%,25.1455180442375%,36549.7852183305,45107.0644307149,32971.4493597206,27.4488474488475%,18.9547581903276%,23.1835363292734%,1.48678414096916%,1.32902980823998%,1.69937285049565%
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,86.1354175516099%,94.3453510436433%,94.030070754717%,44.1903584672435%,22.5759238931577%,42.047170907401%,7.80631578947369%,0%,8.39036001190122%,28.2177729559128%,14.8833467417538%,28.3430004702932%,31487.2669888549,35916.3314561545,31982.1131838846,29.3080479586239%,17.1062547098719%,26.0295370633343%,4.01730531520396%,0%,6.79679330777274%
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,79.3977713784901%,83.7990085624155%,77.3026695943603%,36.2808014500563%,11.9417108251325%,37.1333594055534%,14.0832328106152%,27.9270248596632%,6.74887892376682%,24.1504375936293%,5.18956708792686%,24.1291672895799%,37143.0314594339,44232.9658510352,36304.1112273882,22.5981710597095%,11.3359336908825%,27.3979591836735%,3.78190368882575%,11.0522331566995%,1.83809151349237%
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,85.8425414364641%,92.4786013476598%,80.7628524046435%,15.9659433393611%,4.04005524861879%,23.1928220755036%,0.663082437275986%,0%,1.61114739821467%,5.18905872888174%,0%,7.7258726899384%,53914.010458568,66599.4289090193,42280.5492813142,13.8419016030956%,0%,24.6420323325635%,30.7408244781069%,41.453729281768%,24.2039295392954%
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,77.2082311863903%,79.4990272373541%,75.752694833354%,32.2852713178295%,21.7570498915401%,31.4832434718258%,7.23120837297812%,0%,8.92900411921493%,25.4498219955739%,18.6907311104313%,25.9568204121688%,37912.7297219282,48634.4753747323,35109.9934576382,29.0342790656046%,16.7718665464382%,29.2663582286847%,27.1335200746965%,51.6670298539987%,18.8322717622081%
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,79.6274929948904%,87.3309911636325%,67.2641378352091%,29.4533941707794%,14.7332768839966%,44.9163758873782%,4.19994254524562%,4.29967426710098%,5.08809234507898%,22.5902159663286%,9.43557235157869%,42.4499070439992%,56089.6860553371,72523.5023771791,32820.0640363561,31.6536345207066%,17.7416652705646%,41.925516344121%,33.4481795325449%,41.979490074325%,22.5965587775238%
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,88.9319092122831%,92.7030378177309%,84.8092021179478%,22.9420505200594%,18.2345259858971%,26.666185284136%,5.37163258682246%,3.78650187810493%,6.9612484657198%,15.1366161237051%,12.3787868655119%,16.0495156081808%,51367.0587749587,61190.5158831004,41127.2260495156,31.4152334152334%,25.032826861752%,39.8166339227243%,41.9941618465863%,39.6813789501175%,43.7680740312319%
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,65.7045132226579%,84.6270598438855%,49.1647206754087%,45.6433810927538%,36.1840805846336%,49.0676611614278%,2.49122807017544%,1.06911984087519%,4.32675044883303%,32.3006602336211%,26.2362285421471%,36.0613810741688%,51451.9502285424,66456.6231104279,32020.1899890391,44.4171024300215%,29.7005248533498%,50.5917159763314%,30.5227771679473%,36.0260714991112%,27.4906766116143%
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,89.4642984521007%,95.4095016030312%,83.308957952468%,23.5372744395164%,10.9024091465904%,30.1618858278898%,4.95651559075161%,5.39201399009035%,4.11879087855754%,12.1431988518578%,7.16358637543913%,14.0223831468071%,62587.3935576463,78583.3648999542,47516.4691683125,35.5662895640015%,27.8534923339012%,34.1809290953545%,48.1677301731996%,66.2808116573607%,34.3368361261005%
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,80.1507058374666%,79.5977357581597%,78.1352872464692%,29.4156043618492%,18.0582133145332%,33.1802330526495%,7.43009068033993%,10.7538940809969%,7.170582226762%,20.445079138403%,8.91208957482221%,22.3702092960043%,49450.926395335,66170.8592827962,40588.2658331068,26.6629060311193%,19.795175852311%,27.5271215654466%,15.4573768600761%,24.3710215216732%,11.346431912903%
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,83.7422800867969%,90.7167689917893%,78.4599495065412%,21.8261246540167%,11.0769230769231%,32.9263085987533%,5.51075830373929%,3.29397608483116%,6.83506686478455%,8.43631652381901%,3.18819308545336%,15.1967237092292%,65633.6764999003,80051.1969993477,43230.6918238994,20.2921663689717%,11.3305752035233%,23.8040839640154%,46.8168429508636%,52.9481946624804%,38.7914063168707%
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,80.1363193768257%,93.5679611650486%,65.1119402985075%,31.7306081420673%,5.86283185840708%,20.7775236850702%,2.84810126582278%,0%,1.80348258706468%,27.8857837181045%,0%,6.78127984718243%,36668.9854191981,52842.8015564202,41995.3199617956,24.9848881724763%,87.9472693032015%,12.8156082631982%,12.3484201537148%,41.2610619469027%,9.08199934661875%
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,79.7941680960549%,90.2962206332993%,79.7868362004488%,29.2416161981379%,7.20122574055158%,28.7101449275362%,5.60778312199388%,3.52400408580184%,7.66574585635359%,13.0696474634566%,7.97511312217195%,14.1551441293649%,37061.490398395,53922.5,31364.8230606984,19.4493586908448%,14.3726235741445%,17.9809141135108%,14.6845540246556%,32.8396322778345%,7.68670840005823%
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,81.8238021638331%,88.5021097046414%,72.9834197945275%,25.0355202674467%,14.2599684613652%,30.8444096950743%,6.87986963385446%,3.07819156245706%,9.0748031496063%,11.5413675859464%,8.70083432657926%,10.2578397212544%,53385.2071527515,71545.137067938,44587.6097560976,31.2875250166778%,12.9923574368019%,31.2681912681913%,67.0680715838769%,76.9655327776526%,62.103205629398%
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,76.3643425907943%,69.3295292439372%,80.6205250596659%,27.0698960115835%,21.478551871007%,35.6347438752784%,9.08182726364545%,14.0274765003615%,4.27769985974755%,15.4883011190234%,1.7636684303351%,33.0373001776199%,68056.6594608342,87000.3644914756,61699.171107164,23.1993633107839%,22.3825831702544%,16.6482667255465%,26.4310436634718%,27.2798251093067%,21.0785873369392%
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,82.6105029790772%,80.4250797024442%,89.1255097417309%,22.6243836844464%,15.5987923515599%,30.5676855895196%,4.87457240592931%,4.26287744227354%,6.79655641141821%,9.30390492359932%,1.18534482758621%,21.1997966446365%,103869.654478363,143802.145877378,34376.4921199797,24.0613328091213%,18.236409608091%,34.3918918918919%,33.0453059318076%,42.8546742699153%,14.9957155098543%
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,73.1784029355233%,80.4185351270553%,67.5105485232068%,48.6234458259325%,24.8702218027371%,60.4645354645355%,12.2464172715429%,1.11176126389702%,17.7777777777778%,35.6255969436485%,18.8971499380421%,48.4375%,50152.6743075454,67725.4027261462,38672.1428571429,44.3059490084986%,40.790273556231%,47.3358846040624%,18.8104089219331%,21.2164750957854%,11.038961038961%
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,73.342048966009%,52.1008403361345%,72.7000598682898%,40.0875433157031%,18.9389920424403%,43.2712847116265%,4.30794240594519%,3.92535392535393%,5.82597256154858%,25.2795333009237%,9.10138248847926%,21.1364260225089%,35313.7141468157,42089.6889400922,38491.2105407631,24.1988080512763%,26.7664670658683%,16.4527868224478%,11.1982491336859%,7.21485411140584%,10.0854440036619%
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,87.0010148849797%,89.92133726647%,91.6930706708913%,37.8457695910084%,17.3556797020484%,46.2248832961234%,0.442703899199728%,2.4928092042186%,0%,27.7340332458443%,3.33515582285402%,36.8840144230769%,37238.5311558277,61384.6200109349,32438.8070913462,33.0312446055584%,8.2579867389994%,43.4483653347172%,26.9310021854511%,38.2122905027933%,20.6007712604019%
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,91.5209012748295%,92.5460178603973%,88.7523629489603%,7.09289483372193%,4.50718177315503%,16.9068736141907%,4.76190476190476%,5.83751626696412%,0%,2.00842241658568%,0%,13.2055378061768%,102036.243926142,115003.223710122,45795.95314164,7.52504796418674%,6.05339677504626%,17.5388967468175%,32.3966130813597%,36.4867095922074%,19.0133037694013%
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,83.9983566990192%,87.842653508772%,86.0626767200754%,25.7904341552434%,4.72195589645254%,29.5260295260295%,6.30975143403442%,7.84987824093969%,6.0410992820005%,19.2272421593202%,0.889374317366204%,25.1471594798084%,49222.0835116464,79548.041816196,30528.5174537988,23.9034090909091%,10.7925200356189%,24.9450549450549%,24.1997113016897%,31.4477468839885%,19.6267133275007%
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,76.9352847822254%,85.5626326963907%,74.8731822793372%,40.8964406034862%,24.7222222222222%,46.9802244788883%,4.90658285315174%,2.88659793814433%,7.60906323977004%,26.0829704331882%,14.0198511166253%,26.9196025293586%,53482.3616777447,89433.7121588089,34478.0036133695,24.478285391991%,14.0625%,28.458904109589%,18.6111933668937%,20.837297811608%,19.9893105291288%
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,88.2958935470024%,96.6815255076771%,82.5456498388829%,32.7649615513206%,15.1436031331593%,37.7546777546778%,12.8538079953312%,5.47752808988764%,21.3825916596697%,16.0427807486631%,3.53483606557377%,17.5341574495771%,49008.5409171933,77002.0491803279,38467.2446324008,39.3599334995844%,24.5310245310245%,41.6767335105098%,16.2866817155756%,39.4759825327511%,7.80021253985122%
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,93.973388990347%,96.5314432212336%,55.2986512524085%,14.6996581474849%,10.8882151841579%,18.1626187961985%,4.371547891688%,5.0325682382134%,0%,7.61346998535871%,3.25822407160242%,0%,137614.582176569,148937.306670833,91901.5679442509,26.3952424519671%,20.6789576316256%,27.431421446384%,24.2738023870511%,21.7986124619075%,57.6557550158395%
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,74.9797851449694%,83.0137516947511%,69.0926275992439%,35.3771138084864%,14.0879621517435%,53.0931871574002%,5.25748502994012%,3.24714371617559%,0%,21.0753350793406%,5.10965935604293%,32.8317373461012%,56254.9992297027,72353.8030797947,30755.8823529412,39.6629675297986%,21.1016716908742%,35.5193661971831%,24.2763772175537%,36.060977746627%,11.0415035238841%
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,80.5968928863451%,76.8504719324392%,82.6751373626374%,26.9683661129145%,15.9356402909411%,20.9711913448232%,3.89495663347253%,1.54352226720648%,4.83660130718954%,16.2219742315106%,5.78539107950873%,6.25129802699896%,57141.3777011261,98741.3574660634,45212.6272066459,11.4307931570762%,16.6402535657686%,4.26716141001855%,4.52177268926481%,10.0089365504915%,3.20795068562083%
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,81.0580472861519%,81.4758347309041%,80.3776905374306%,32.6832611607838%,23.682883791278%,32.1886472747811%,10.317802421725%,15.0442477876106%,9.28815879534565%,23.1212752555841%,13.3233532934132%,24.9263157894737%,33661.4597121954,41118.1773952096,32312.7551157895,18.495745812284%,28.5023467501067%,19.055873346045%,2.02961808261886%,6.23261694058154%,0%
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,83.4208468327561%,89.2946652345148%,69.9750089253838%,8.34054002113962%,3.61774744027304%,10.8998393144081%,3.40104998858708%,0%,6.76873489121676%,2.77625068719076%,4.04971932638332%,0%,110055.496584974,144048.610465116,43544.0632653061,8.54329198107175%,5.06646601454728%,10.6329113924051%,24.7956141194575%,31.8461538461538%,15.3722549544724%
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,87.4975882693421%,86.1835483575808%,87.1369294605809%,18.2466760350232%,16.2813763637751%,18.1991294885745%,6.35323188971258%,5.81557643993673%,5.63161169881767%,7.38778513612951%,4.4803057649432%,13.2649572649573%,91793.8574053657,112567.812931309,51424.8979591837,26.838789206958%,24.1843759353487%,11.5436696005416%,16.0592689437272%,20.7271046753447%,4.45964432284542%
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,85.6090574273633%,91.0351347093115%,69.5530726256983%,20.1214882308276%,16.8624258634725%,25.3363228699552%,8.84218873909596%,6.12795681854263%,28.3283283283283%,0%,0%,0%,152058.072020395,158669.342332987,75351.40562249,4.9866031557011%,6.63497722321252%,0%,23.6540664375716%,25.8812507319358%,0%
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,84.3562978427279%,85.6777251184834%,80.1079622132254%,6.76372807520349%,3.25596653817764%,8.1245915922457%,0.605427974947808%,0.824644549763033%,0%,1.67464114832536%,2.24582365305897%,0%,142956.878402904,169623.759265405,65073.8274932615,14.3657134323901%,5.42317173377157%,32.9215358931553%,16.2616072452138%,20.1509062576888%,8.27706382051841%
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,84.2067517032939%,86.1562088635366%,56.633048875097%,15.0490591683303%,12.2465190169143%,43.0639887902849%,0%,0%,0%,8.04842438252829%,6.97097020626432%,31.2328767123288%,137964.470556029,142095.057741278,49083.2876712329,9.04475695862753%,9.87135396764743%,0%,21.5561713920273%,21.0425072722154%,26.6697804764129%
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,87.6673818154916%,84.5512593118127%,91.2749081060167%,37.8447129560039%,30.5454545454545%,32.6772934287573%,3.33609458543565%,8.2037037037037%,0%,25.5611814345992%,8.49590937696665%,30.288257736329%,47397.8919831224,77262.4082232012,30499.4107672743,23.8668555240793%,28.1509695290859%,28.245046502224%,9.22208646069704%,10.8148148148148%,12.9513083802584%
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,85.7637913271518%,88.6234357224118%,82.5574873808189%,24.81426448737%,11.7255297679112%,30.5694895249336%,8.98725085293589%,5.40249677141627%,11.9266055045872%,15.5291034181501%,8.47240051347882%,17.9121376811594%,55435.5050780823,73789.838254172,41330.4121376812,67.3416999429549%,57.3200992555831%,65.6812339331619%,73.9524517087667%,83.7336024217962%,65.5650634405429%
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,87.6610062562431%,88.8016488369811%,85.2388620504563%,12.1978463875609%,9.56234229531019%,17.4438502673797%,2.48732319188684%,0%,6.27102677970663%,4.82187837351565%,5.71396993810787%,4.51826196473552%,60234.0891207869,71214.7579575597,49460.338790932,23.3993902439024%,17.2050816696915%,16.8736746440473%,68.7648190399499%,75.3772350632359%,60.9090909090909%
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,83.614088820827%,87.3892652423137%,78.6459692147143%,26.7181504686969%,17.0666245658352%,28.8613723117028%,8.25771324863884%,1.70701968298206%,13.9190523198421%,21.4432234432234%,15.424368912741%,18.7095704096865%,37945.1978021978,48158.7577022461,35031.5475203185,23.2978723404255%,18.6171804848848%,24.6372384298152%,38.2049400831499%,45.3885028427037%,36.0612855007474%
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,89.1754218401783%,93.9230160822568%,86.9634721445128%,10.0490742806157%,4.65009208103131%,12.8979998753816%,3.57561547479484%,2.71333071175777%,4.62911762382495%,6.39057479471617%,1.52982456140351%,9.33823529411765%,46993.5033406436,58965.6449122807,41060.0459558824,27.9742765273312%,0%,37.1187363834423%,78.2854574735029%,84.7556019969813%,73.7364224273247%
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,73.4040383438711%,91.7764652430713%,44.597927972373%,17.2362060343391%,9.57271980279376%,28.4951974386339%,6.34791454730417%,9.7571189279732%,0%,0%,0%,0%,52537.3992775771,60620.5445544554,45807.5221238938,19.7069597069597%,34.6830985915493%,18.9760712298275%,53.7914691943128%,76.6639276910436%,33.9338235294118%
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,83.6262777362254%,88.7133333333333%,78.4583122423892%,24.3054489639294%,19.5189003436426%,25.2355958487415%,7.41421384026753%,10.258064516129%,3.33547145606158%,14.5077140940598%,12.9405576012625%,13.4009216589862%,52666.7656704181,64173.2434057263,41804.6949308756,32.1493624772313%,31.4565181653789%,34.384110787172%,23.3614735226401%,22.9381443298969%,22.9273529762615%
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,83.5962349886401%,86.9568294409059%,77.9887319595585%,20.8306794055202%,12.0531809434953%,29.0389708664396%,4.59858402351055%,5.06059493206023%,5.42543963409826%,12.9911476937413%,2.30324733458126%,22.5235032162296%,51444.0782730238,71481.8816635468,30374.6264225631,29.7979797979798%,21.0174369392246%,39.0565270435136%,25.8864118895966%,30.5673800221587%,19.2584184638668%
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,84.5588870647196%,90.5536723163842%,78.9790130459444%,30.5488452990627%,18.118502069244%,30.5941445314268%,6.89735185776025%,4.88561903667088%,11.0758237395792%,24.078615709517%,13.3516346393811%,20.1666187877047%,42972.1581851625,62868.8981781882,37762.0202528009,28.0280201933237%,24.8727594600575%,28.5625646328852%,36.0117245221773%,50.2170182699102%,32.3317797185393%
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,87.8025512429132%,88.8527199074074%,86.5645161290323%,28.9561813122023%,29.6598202824134%,28.4332872862383%,4.25814495581937%,4.52838364870721%,4.47912228376651%,21.8948871573588%,18.1226084832696%,24.6071672566921%,41027.6630552882,55208.573638362,32182.3135208993,25.7594710507505%,30.663053603184%,24.2049887693581%,17.9024574312532%,22.214377406932%,15.0050016672224%
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,86.3198535265085%,91.7124374466008%,84.1837086001515%,15.212223032301%,9.12142152023692%,18.1394328341835%,4.36650246305419%,5.34648642065522%,4.13468013468014%,6.16959468806197%,4.16555762576524%,7.27138884344839%,56565.9533361,67518.5759914826,52070.1578602977,14.7878483555109%,8.11188811188811%,17.1134403116594%,46.0438271017664%,61.4708785784798%,36.6800241532634%
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,82.9238440616501%,87.6010370596309%,75.2307497787331%,10.0130760391489%,10.3896103896104%,10.0378787878788%,5.83445148753065%,8.14259510327777%,2.98618887644644%,3.84846662657847%,1.54944289693593%,7.94957983193277%,80572.6580659269,103173.510967967,43801.0319327731,17.0153081670273%,18.1104569666386%,14.8928024502297%,48.8647620557119%,50.7313738892686%,43.8341750841751%
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,87.0152873531896%,90.9686924493554%,84.5153605637997%,22.6264570634157%,10.7038409046598%,27.3436028774811%,2.707946223631%,2.89728470553978%,2.96752239403493%,12.8711010898159%,6.89934407644344%,15.6027952316636%,52789.4622948766,67002.3710421897,45016.0320629514,27.7964431304036%,19.4272582640976%,28.4307934632802%,49.3836407995549%,63.1657767938534%,39.3130202252269%
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,84.0316205533597%,88.6634632496886%,83.5782334894236%,18.0556414219474%,15.5957060780163%,17.6084262701363%,7.53832415538026%,6.88868227537824%,7.79916949792374%,8.38664158043274%,10.989562424729%,5.12944358578053%,54883.006491063,70030.7005218788,39832.4785548686,36.9696158479454%,32.8623188405797%,37.2644452764258%,52.516228748068%,56.6903537949803%,49.0520446096654%
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,83.0321894928636%,78.6870387155251%,83.4675600798918%,25.2420157423324%,15.4526315789474%,27.4551971326165%,7.76114968992536%,8.80400751408892%,6.72716887732436%,16.3253177288105%,6.71383906532829%,17.4372829023543%,42815.5636829112,56732.1276945861,38596.3975299112,25.5442491520197%,12.4752038792153%,28.9634146341463%,49.0488431876607%,47.9452054794521%,48.7606705749254%
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,79.6332422941865%,84.545292120779%,83.0141548709409%,28.4201379460164%,15.7863849765258%,22.2324936445574%,3.35820895522388%,0.740037950664137%,6.49169342454279%,19.7452229299363%,10.0591715976331%,15.4630558341692%,51315.923566879,67288.5460693153,45155.5332664661,22.3942652329749%,0%,19.734292831442%,62.0304844855743%,81.4557803041489%,58.2505199907557%
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,85.1746493781424%,87.3330190161873%,88.6797832905617%,15.5916321638701%,11.7298745241788%,15.4659837434584%,4.53740738312242%,2.77202485263661%,7.1596406357982%,11.0834951456311%,6.83822206226381%,16.8327974276527%,53119.2388349515,64514.9901025733,47008.1028938907,12.1522693997072%,14.7995283018868%,16.0673793326855%,63.2611895545985%,71.0875706214689%,62.9439928738448%
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,89.4721100643039%,94.4633995037221%,84.7639484978541%,9.78539082496555%,11.9569658177856%,7.89660559579605%,7.04637550652859%,1.28125%,12.1091354996934%,6.11733244191877%,9.91626990641931%,2.31464737793852%,71642.349991643,81194.1224757839,62698.0578661845,21.9982211680996%,40.0547445255475%,14.4535840188014%,75.8810789525497%,84.2162603840392%,72.4328930549638%
NEW YORK,,83.9111848978186%,87.9155579396307%,81.0369835918743%,24.9317450321216%,14.6225128843724%,28.7025550008805%,5.65980759133102%,5.04241444669816%,6.37760513010236%,15.139853171675%,7.46403742993914%,18.2055850818715%,58127.0713815599,82498.2641769736,40218.0102328409,24.7792455805316%,18.8067886162591%,26.8239906623171%,33.7230303577051%,40.3191474815061%,29.994090303338%
