,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,48.3766233766234%,100%,46.6442953020134%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39743.322147651,84000,36559.3884892086,0%,#DIV/0!,0%,63.6926889714994%,100%,50.8389261744967%
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,65.242003962638%,46.3028169014085%,80.2962962962963%,14.7491946617579%,18.90625%,15.4831199068685%,12.1720561317877%,0%,19.7037037037037%,0%,0%,0%,42027.7310195228,52241.4448669202,37595.2398523985,0%,0%,#DIV/0!,96.134376438104%,86.875%,100%
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,69.5632183908046%,79.3017456359102%,62.0661157024794%,25.8183306055647%,17.9551122194514%,29.6822177146721%,4.71475719000472%,24.9376558603491%,0%,13.0204890945142%,9.74842767295598%,22.103861517976%,31137.111698612,42805.8176100629,23484.9533954727,21.584984358707%,56.9444444444444%,18.7147688838782%,58.4288052373159%,82.0448877805486%,36.1730899256254%
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,83.6887835703002%,57.2139303482587%,94.9030470914127%,56.3543936092956%,15.3417015341702%,70.415512465374%,2.77044854881266%,0%,0%,57.1495988673903%,0%,70.6946876824285%,26478.0084945729,64864.0579710145,18336.7192060712,28.9948453608247%,100%,13.2966168371361%,43.6456063907044%,84.6582984658299%,29.584487534626%
"Monroe County (East) PUMA, New York",Finger Lakes,89.7551546391753%,100%,94.6815089672233%,2.97379032258064%,6.59955257270694%,0%,10.2110490378647%,20.9844559585492%,5.31849103277675%,0%,0%,0%,59767.480258435,95786.5384615385,37854.4741998694,0%,0%,0%,71.8497983870968%,50.0559284116331%,94.2296595499134%
"Monroe County (North & West) PUMA, New York",Finger Lakes,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,77647.0933333333,98648.1481481481,61674.4600938967,0%,0%,#DIV/0!,89.6130346232179%,68.5185185185185%,100%
"Monroe County (South) PUMA, New York",Finger Lakes,90.7147988505747%,87.0911360799001%,100%,9.2948717948718%,7.48889359001481%,16.884661117717%,2.72216368106779%,1.75438596491228%,6.12691466083151%,5.65511748307447%,0%,22.0668220668221%,83680.1128489408,104142.78956422,31499.7668997669,12.5857002938296%,14.6605818596691%,0%,68.8374125874126%,60.8631267188492%,92.8656361474435%
"Ontario & Yates Counties PUMA, New York",Finger Lakes,91.1435941530525%,100%,86.7438867438868%,0%,0%,0%,0%,0%,0%,0%,0%,0%,118050.283018868,380410.738255034,13547.3293768546,0%,0%,0%,69.6474634565778%,81.5436241610738%,61.6473616473616%
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,61.519805982215%,87.8172588832488%,18.3510638297872%,32.5221238938053%,37.4365482233503%,0%,0%,0%,0%,38.7647831800263%,42.6300578034682%,0%,48402.1024967149,47245.6647398844,60000,0%,0%,0%,27.4269557021678%,35.6997971602434%,27.2511848341232%
FINGER LAKES,,80.4737941511584%,81.9316081330869%,82.5474881882171%,16.4852625724954%,11.4860356496044%,20.6076287455137%,5.05973975717119%,4.98614958448754%,5.47800134783864%,12.167592483158%,4.81381849072632%,19.7523653778764%,60712.2559141054,99739.326001128,30759.3844177082,13.0273660205245%,11.7579250720461%,11.4529914529915%,69.4912527649306%,64.9675898644667%,72.1809531758618%
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,87.6885303402315%,89.3258426966292%,80.2664446294754%,5.89765828274068%,6.08333333333333%,4.29371499688861%,6.89092096668844%,0%,14.943342776204%,2.48%,0%,0%,73327.364,122458.805031447,56468.2572614108,14.6750524109015%,#DIV/0!,#DIV/0!,86.2098872506505%,100%,100%
