,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Oswego County PUMA, New York",Central NY,81.6746307558645%,85.2926294484736%,81.9617595762547%,19.4737987975415%,7.79041959562287%,19.8875789683132%,7.46125114625036%,1.94753925782963%,9.51565638273353%,6.2696677156115%,0%,8.28584995251662%,49057.7147568013,68126.5928416057,41860.0680931552,27.4919761577258%,21.1351755041075%,28.8997933884298%,80.9755361424571%,90.0427567215016%,79.7203145217478%
CENTRAL NY,,81.8568609865471%,86.0735067687816%,80.1487962384311%,16.463530394502%,6.58364577753973%,18.9393722230185%,4.71648138067594%,3.09572218192221%,5.38660354114834%,5.67290945543403%,2.00556066123009%,7.53063757366767%,56022.7511613842,74953.0542113394,44868.830442144,20.0753761615697%,14.7901084832558%,20.5418084229656%,78.2573898665823%,85.3613898510874%,76.0113932837071%
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,82.4119206970577%,81.9120176947653%,82.1863591388311%,16.5841215857158%,2.96079578700995%,18.6174905375793%,5.80995336747955%,3.28904940023217%,4.43888715223507%,8.45208544022555%,1.48514851485149%,10.7563932248422%,47921.5278109773,67400.2871287129,43067.8725506476,17.4251577392939%,0%,10.7179487179487%,81.3144716003938%,92.5486473659231%,80.253193495842%
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,85.3784934295762%,86.6881951919627%,86.5543085126216%,16.5668077261491%,2.4800517576019%,14.9735279492205%,3.86353183084873%,0.50511272637674%,5.09578253956235%,8.04868229537642%,1.15894039735099%,6.94438461207082%,47352.9498312223,66484.3777593819,43241.3650540645,16.0966249012304%,8.71934604904632%,17.4600737100737%,80.2517818733921%,89.7560449050086%,80.1970008820935%
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,82.4358295845462%,83.9811066126856%,81.7134802489085%,8.64895000929195%,5.80743449116392%,8.81693927851221%,3.00074510600826%,0%,3.04497787687698%,4.21582002514512%,2.66752370239434%,3.31958936385056%,51266.2712997887,61692.7028764262,46494.784584315,13.1302270011947%,0%,16.9755946864381%,83.8023438083153%,90.1523461304083%,81.2197183098592%
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,82.5396098543823%,87.9634224144042%,73.0933137398971%,22.9959669675437%,14.282793867121%,31.0735029040657%,4.09000849136711%,1.28945198290726%,6.62901307966706%,13.4943102969747%,10.3150938834717%,18.6341659951652%,49869.6347295423,55982.4906116528,36660.1206272618,15.127671063797%,16.7791273054431%,12.3221041253828%,48.0994323742415%,54.1669505962521%,39.4012352140689%
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,82.3285780027612%,81.9495363381497%,83.5517452541335%,37.2233617618482%,14.0145170295924%,44.6942599216488%,8.3613317043372%,9.59725792630677%,7.89794921875%,17.8056006881392%,2.47368421052632%,27.0035109143642%,46451.8222470654,72315.7894736842,32068.874230431,23.8694974211347%,2.60989010989011%,24.694820191356%,52.6368435676577%,72.9015447608412%,44.8884184528535%
"Monroe County (East) PUMA, New York",Finger Lakes,82.3731880494857%,85.8064056432363%,78.3203564516855%,5.75427945020659%,2.45972002113048%,8.38693449279529%,4.18938821000677%,1.63809937079627%,7.46801681659961%,1.78123731525035%,0.784720780568819%,2.54568440409148%,67100.0610778157,78424.0572140336,52008.8748419722,5.56238475722188%,2.53712871287129%,6.7182921724571%,88.3522823689123%,94.1197834125726%,81.9957244827711%
"Monroe County (North & West) PUMA, New York",Finger Lakes,81.2550035319049%,85.6265438280259%,78.5083339734235%,8.00707716995495%,2.96557811120918%,10.1295128170715%,3.24475041330471%,2.80926564810251%,3.68300430219935%,3.23873703779011%,1.59051925775768%,4.06188605108055%,51712.5293111942,70174.2859815999,40823.6191175032,13.0177514792899%,5.8130081300813%,16.6123188405797%,80.9324307590705%,85.5251544571933%,80.1085966746484%
"Monroe County (South) PUMA, New York",Finger Lakes,85.2722017022643%,86.5462835824762%,83.8499531635868%,6.90896815573309%,4.00199862000048%,9.56604707046434%,1.75987225123923%,0.307966609935975%,4.11939256414732%,2.7996302375158%,2.43668802011615%,3.41819294933932%,85486.7650991544,105408.682631863,51692.4434062865,18.6491491050172%,9.54755309325947%,24.6518105849582%,82.852092760181%,86.8709700444931%,76.9823078576033%
"Ontario & Yates Counties PUMA, New York",Finger Lakes,82.7044896666403%,82.9033066132265%,81.7000362832734%,17.1488238817568%,5.92004381161008%,18.1139573599699%,5.40234848952228%,2.99884659746251%,6.36072499318615%,9.67232341607028%,2.88563227073576%,8.90225685332472%,57227.4567605735,87466.9131288714,44710.4592030361,24.554123898959%,3.98259705488621%,24.0473627556512%,76.4009252622663%,82.2223440412236%,73.6246260007008%
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,83.3315366205989%,88.3495145631068%,83.9268557260189%,20.0559328805434%,7.53468976921418%,20.548278716463%,5.09099743793621%,3.36856578155882%,4.69057442081879%,9.85769728331177%,4.49981053429329%,11.5476937848517%,48142.9458214748,65086.2586206897,42101.9055356549,15.1741676942047%,4.46991404011461%,17.7663407102419%,77.262907574565%,86.8286720828241%,75.0828217870019%
FINGER LAKES,,83.1420072173998%,85.6251487852856%,81.9794465054795%,13.7864859886111%,5.31696992455535%,15.9468050377141%,4.10655161281442%,1.7789138375103%,4.98610615075044%,6.58479356996655%,2.8921568627451%,7.79895200604812%,58045.469752069,79189.361969564,44486.1122236671,16.8502335695876%,8.47057882954909%,17.7995602784903%,78.6228212713642%,85.0757062404264%,75.8735227697807%
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,80.0672304217659%,77.8673367787208%,82.1392532795157%,6.3902905863929%,2.81828259571928%,9.91303521361023%,7.19456422318045%,3.76187706030638%,11.9521189770872%,2.52558383626345%,0%,5.64342751842752%,97871.5899042246,113178.736710711,74023.0067567568,34.1079641733236%,26.4918625678119%,37.8629932985853%,90.2026585312705%,93.9626502941929%,86.9525894897182%
