,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,82.1538740700417%,84.5718248006472%,80.3247122664216%,17.9592320455084%,12.8476190476191%,19.8873180291153%,3.80774615025665%,2.76443715590957%,4.24586073939669%,5.79422050432542%,5.68461328231757%,6.30890765459003%,52161.8644579422,77309.3588412134,42705.7237809861,16.5539196179865%,20.6680584551148%,17.9349363507779%,74.3720985596953%,80.413357573438%,73.0942334739803%
"Ulster County (East) PUMA, New York",Mid-Hudson,79.4498116915016%,85.340884338924%,77.8059041642898%,18.621814540874%,7.29364731119887%,21.4697603235768%,4.60310402506934%,4.5199977371726%,5.01714952930015%,3.49340478153339%,2.35451761102603%,4.52275122577098%,61345.6964396125,76419.9806661562,51459.0668560693,28.8358369098712%,5.53784860557769%,32.7324385225825%,74.5533359704641%,87.705118785207%,69.7965615239596%
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,78.3199943338763%,78.8732394366197%,75.0459052515608%,5.97157381471107%,3.83471269107295%,9.05578735898625%,2.80873185876916%,2.39595201394008%,2.94199022410772%,0.801832760595647%,0.936360623135565%,0.489356496207487%,142160.917314765,165239.364766324,86492.043430389,16.1847119479937%,10.9471919530595%,21.1530309453158%,74.7258007450728%,81.7886178861789%,58.3255957907769%
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,82.5248479454087%,82.3607771785041%,83.4857391682996%,2.60892953200646%,2.14008333569546%,4.05286343612335%,1.81083470135118%,1.67497507477567%,2.36063393549817%,0.137815327461202%,0.181466724525622%,0%,160003.567918989,174406.522545268,116539.072890859,10.1604278074866%,9.14634146341463%,16.9059011164274%,89.9574025974026%,90.4136032020893%,89.3088903309539%
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,81.5381184491382%,86.8812484759815%,71.113591962043%,6.25571155603556%,1.12600771118121%,15.0046889653017%,4.23411371237458%,2.67695334748615%,7.16609261385381%,2.81812440795706%,0.886893067639629%,7.52775521256431%,121597.562084864,141167.360875667,77490.5808477237,18.926611099817%,5.09037255625231%,37.0560747663551%,85.0499079908549%,87.2265659316525%,81.0770084860021%
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,85.5877950122623%,86.5900572104952%,84.207065013153%,6.80533878693289%,2.40463245369756%,11.9580471231258%,4.11283859592883%,4.64074803149606%,2.73667923798472%,3.14825841024114%,2.97886882724839%,3.60370411692514%,132137.534013099,171036.772455431,59925.6052660939,24.8548062107384%,15.7372986369269%,34.3344857389801%,76.2638368929947%,85.1384833200602%,63.9757521993051%
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,81.1998518701395%,84.2619412733572%,74.1421947449769%,5.68325420950169%,2.14425861907876%,14.1231855629659%,5.95273963758447%,5.87502225387217%,4.35347628330085%,0.491736794078881%,0.653815044486384%,0%,149307.593037397,177469.671811809,64859.8269751928,19.8836363636364%,8.05751492132393%,30.8420365535248%,75.616522811344%,82.7135018524598%,56.7412057015823%
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,88.6454183266932%,92.809569117847%,82.858996940762%,10.6325265291523%,5.70157466487151%,15.3445950285824%,9.29283271430147%,7.69230769230769%,10.4206171349767%,2.25600352500551%,1.84534270650264%,2.90892817185053%,72767.2844679445,86098.7127270064,52843.3094652047,13.4651380439869%,4.61694571283612%,19.0109343936382%,70.635775862069%,75.4726921500907%,67.3472033184263%
MID-HUDSON,,81.4877928309342%,84.6451947469481%,78.7584360743506%,11.0207691964164%,3.97539670806229%,14.7783207384265%,4.59551181892461%,3.2842378837863%,5.49101383979025%,3.2610252470671%,1.50391822263457%,4.65470882215713%,94312.5946165936,124617.95427902,62212.5142059735,24.557268196489%,10.4146986586057%,29.5128194598442%,78.7948621080468%,85.5955935249022%,74.7875388099773%
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,81.9278822893246%,87.5760649087221%,79.9644243208279%,23.6997697238761%,5.33203547479991%,25.7492264623545%,8.88360103113226%,3.24885413858183%,7.97449453165987%,9.45565706742627%,3.93746381007527%,10.8291203235592%,42963.0208774794,56954.9785755646,39018.4019211325,16.2613699647299%,0%,17.0315999004728%,75.596755988462%,89.3900064892927%,73.9735745322338%
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,83.7498621374214%,87.4884056477378%,83.0289465831095%,22.1023616688219%,8.50984417280955%,22.8171105131298%,6.47968616133832%,1.12145577655523%,6.61680625521526%,9.31837336704593%,3.27482624572977%,10.8651115983179%,49007.0645280236,68283.47143362,43988.2376810552,29.1306139266584%,4.48943661971831%,29.6855768154862%,77.1942998549364%,87.3243421673111%,77.8881872213968%
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,81.2754500344897%,89.5296413431128%,77.0725388601036%,17.6608761196908%,5.1511758118701%,18.8648604758167%,4.2006479722936%,4.27962950442837%,3.3978909642291%,6.70363456681673%,3.3446072904923%,7.53375977256574%,55641.7621967913,78019.9912814731,42622.7785050862,19.3707918727284%,2.39298059026855%,18.9473684210526%,67.7348690951489%,74.6791269888212%,67.3902399216582%
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,81.4872192099148%,82.4628653569717%,81.3561958085462%,22.3402358069949%,9.01975400670891%,24.7710786062552%,4.51471301329658%,3.9403181930591%,4.42926139710213%,9.84606893168159%,4.87119891535929%,10.76276046645%,51424.5602845578,74922.0257602169,41593.3656088702,14.9312598602659%,18.559377027904%,11.3107326980159%,78.4196824261214%,86.1051062243757%,76.3294075660243%
MOHAWK,,82.143332084094%,86.7790278827767%,80.4379484735351%,21.3360250271578%,6.93018174595293%,22.9471773264872%,5.90428685823966%,3.32937522835221%,5.58228290375467%,8.77278250303767%,3.8382699600287%,10.0099957161217%,50090.1847335772,71354.0074561853,42021.0159540033,20.308446238109%,5.7554926539965%,19.8585231193927%,74.615442299941%,83.117737338303%,74.0129948604444%
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,58.4905660377359%,100%,48.3870967741936%,34.8148148148148%,0%,18.4848484848485%,0%,0%,0%,0%,0%,0%,22798.3870967742,17900,25262.4242424242,72.8365384615385%,100%,71.8446601941748%,22.962962962963%,0%,37.5757575757576%
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,96.6344199658565%,96.4119601328904%,96.8069666182874%,10.7175185565144%,6.8019267260254%,9.07880401888391%,2.1110563495975%,4.23812664907652%,0%,1.79187347522504%,3.66988283942109%,0%,70039.7055606966,66406.4438318401,73473.0934532734,5.97014925373134%,1.58135663753641%,10.9133126934985%,64.4499426709312%,63.5965552474091%,66.9652584432877%
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,81.2481203007519%,76.6425755584757%,88.737320741518%,25.5142667551427%,5.38103548574753%,32.2138753866549%,7.68529769137303%,3.9236479321315%,13.1316489361702%,14.454932444938%,0%,26.0938115884903%,65407.1256709236,85365.8379768538,55962.3176980686,18.6780761286515%,3.2258064516129%,24.9526216045483%,56.9242796515524%,62.1291448516579%,58.0892293826048%
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,87.7510040160643%,79.5876288659794%,91.9850187265918%,27.8183477863989%,15.6634746922025%,24.6799116997792%,8.3548030916452%,15.8716392020815%,3.19071791153009%,8.46681922196796%,0%,0%,58707.1249427918,78679.621761658,53488.9250814332,13.969465648855%,14.866581956798%,10.5793450881612%,34.5205479452055%,46.1696306429549%,18.8687582854618%
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,88.7525562372188%,100%,78.4313725490196%,46.4285714285714%,0%,59.5180722891566%,0%,0%,0%,0%,0%,0%,60216.2211981567,70005.2991452991,48763,38.412017167382%,0%,51.2893982808023%,0%,0%,0%
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,47.6767676767677%,0%,100%,62.5423728813559%,100%,27.0627062706271%,12.2486288848263%,0%,23.2638888888889%,6.35593220338983%,#DIV/0!,6.35593220338983%,33807.2033898305,#DIV/0!,33807.2033898305,0%,0%,0%,11.6521739130435%,0%,23.2638888888889%
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,67.7142857142857%,51.2931034482759%,100%,68.1238615664845%,54.7703180212014%,82.3308270676692%,15.4545454545455%,18.0212014134276%,0%,57.8059071729958%,55.4621848739496%,60.1694915254237%,29008.8607594937,41159.6638655462,16755.0847457627,13.6200716845878%,16.3793103448276%,0%,0%,0%,0%
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,79.4230769230769%,86.3138686131387%,63.1465517241379%,20.5298013245033%,26.8845897264843%,0%,22.2283507997794%,29.8739807264641%,0%,0%,0%,0%,63523.9709443099,65698.9429175476,56501.7064846416,26.9565217391304%,34.3563512361466%,0%,23.841059602649%,21.7478318879253%,30.6034482758621%
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,83.3167413306786%,84.2162279276351%,77.9809220985692%,11.1705043859649%,2.71270036991369%,35.9166221272047%,9.98870421171535%,3.81058495821727%,28.7917737789203%,0%,0%,0%,120603.386836603,139005.764599949,63429.6636085627,23.8701372997712%,3.33629893238434%,55.3677478300594%,50.2529978512511%,55.3377534351879%,40.1562079181255%
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,100%,100%,100%,39.4640042038886%,0%,67.1623296158612%,3.69477911646586%,0%,9.72515856236787%,14.3682906688687%,0%,39.6355353075171%,92356.8455821635,122678.678756477,39034.6241457859,71.1260827718961%,0%,93.6395759717315%,44.7634237107921%,65.3543307086614%,28.8050314465409%
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,85.5867468729113%,81.6071566283643%,91.9060385548321%,12.3392612859097%,6.79922599586308%,18.8278680354829%,3.81942757179649%,2.35573122529644%,6.27007580624438%,6.79422100741898%,3.68550368550369%,10.8209473537991%,84222.2300440676,101122.116613117,60509.734685373,16.510067114094%,8.44270058178866%,25.4395407247937%,44.8648012244418%,47.5525876460768%,42.1587365456192%
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,80.9863869671948%,81.3030511585226%,81.1567394253299%,16.86697901813%,16.2585373979677%,14.4140098787607%,15.5040393396558%,19.8406211687781%,13.9114832535885%,3.56388353081657%,4.40180586907449%,0.607810363166692%,61559.6472857537,68648.2731376975,61403.6620574381,24.1246262178065%,30.3267528931246%,20.8720635457157%,45.7812179618618%,51.0578044311178%,44.4263038548753%
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,64.9232046492321%,74.5021475985943%,60.9520160904128%,35.2957217306993%,11.4939699729264%,46.5445356917246%,4.56514495168277%,3.69674804784027%,6.34708853521395%,19.3989769820972%,2.35849056603774%,34.0037712130735%,68838.6170076726,85497.695230608,55636.433060968,39.8896668788457%,16.9909564264182%,51.2900253397835%,40.3805110067687%,39.4782180654689%,42.1313349422075%
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,85.4255789939519%,93.6335929563156%,78.0098955470039%,21.2497180239116%,14.7389107243122%,27.7686963628933%,3.41764528756399%,0%,2.3619884647075%,10.878950094975%,4.19529837251356%,18.1113460183228%,49563.192885512,57932.4050632911,42821.8992248062,3.68839427662957%,0%,6.14732379438262%,58.9173070306228%,69.9606962380685%,51.0427638508532%
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,77.5497113534317%,81.3961805307203%,70.9728308501315%,13.7823918907872%,6.33470098222056%,25.8367662203913%,7.81711653062246%,6.49426122330379%,11.7326297273527%,6.08258573519119%,4.04217926186292%,8.39713509508521%,80793.0533816886,90291.7311072056,58600.4346752285,15.3914662780342%,7.71227289581016%,27.9950799507995%,46.5470631604817%,49.0364291930872%,39.9639035709682%
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,80.0348010289%,79.7026022304833%,80.5083399523432%,16.5083507306889%,11.5624632049924%,17.1515768056968%,4.12308162174544%,0%,5.92424732923276%,3.99848756971358%,1.49253731343284%,5.34727703235991%,77388.0379998109,90509.0791044776,64835.1203630623,24.6536987916298%,16.4849262347659%,28.5053483665799%,62.8472222222222%,60.967855881314%,64.3952650540402%
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,68.4531059683313%,63.5135135135135%,100%,57.5858250276855%,44.921875%,54.2857142857143%,9.86601705237515%,36.4864864864865%,0%,31.8505338078292%,0%,52.8023598820059%,28616.975088968,28449.6453900709,24481.8289085546,43.3778857837181%,0%,58.3061889250815%,3.74269005847953%,0%,9.43952802359882%
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,86.8070953436807%,81.8873668188737%,100%,7.223113964687%,0%,18.3529411764706%,7.77096114519427%,0%,23.6760124610592%,0%,0%,0%,72911.877394636,89005.5762081784,37571.4285714286,0%,0%,#DIV/0!,66.0714285714286%,57.725587144623%,82.0330969267139%
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,81.0094459326096%,78.7546309489883%,83.3653703977525%,10.2071087183431%,7.52715332154584%,11.7843362185838%,9.42484291928468%,7.85010940919037%,11.0245479935323%,2.14061956143404%,0%,2.57183398368216%,77967.7414723286,90802.3131897956,62679.0173820504,26.3761467889908%,32.3144104803493%,23.1764705882353%,85.0796636423988%,87.8573235517329%,81.7254076801683%
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,87.2527526064504%,91.5714332492878%,79.2626178260351%,16.6063760022001%,5.97700431169156%,38.4211403801267%,4.19364331959976%,3.68619412853742%,7.01899256812552%,6.77014992043329%,2.27427141069194%,25.7112750263435%,78590.4690527374,85144.2732344001,48164.3097997893,21.9450219450219%,10.9086918349429%,52.108843537415%,16.8387642826915%,14.1692182715741%,24.733155436958%
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,87.5837903717246%,88.2036409378385%,90%,10.4489353044894%,6.88077827529556%,27.2528346926596%,3.9083475713937%,3.9213632236888%,4.38037149986138%,2.53957209949556%,2.11147644891653%,5.9642749016046%,119963.112193425,123930.810917878,89784.4989403573,10.6488737629305%,8.79246064623032%,16.5240044659472%,36.7656050247346%,36.7329188544922%,36.6870876531574%
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,78.6438975389252%,88.7838037535097%,55.9533386967015%,34.6437346437346%,14.9449035812672%,67.1318712617488%,3.62699535259648%,2.32029117379436%,7.91698693312836%,17.6395452803679%,9.12117177097204%,50.6110711718188%,60988.6741601737,64080.5309587217,46001.7253774263,25.3758963682628%,8.37226686600635%,47.0235717139433%,22.7850274725275%,24.3388429752066%,21.1124053581829%
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,83.2355273592387%,88.8373011952978%,59.0682196339434%,14.0099761440035%,12.4575631837043%,19.6122059758423%,11.0234410908534%,8.92803822036429%,18.5362517099863%,4.58269817073171%,5.10396975425331%,1.54929577464789%,58222.337652439,60416.2188368731,45744.0845070423,13.4137214137214%,14.8686178167058%,8.56589147286822%,9.65472218192369%,10.0387560260894%,8.61075544174136%
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,75.7174392935982%,89.3835616438356%,70.9515859766277%,14.643188137164%,0%,18.5233160621762%,0%,0%,0%,0%,0%,0%,58214.2857142857,32869.7318007663,73778.8235294118,41.7142857142857%,0%,45.7680250783699%,67.1052631578947%,89.3835616438356%,58.6787564766839%
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,85.9215410369005%,86.2767852323636%,82.0140280561122%,4.75685084162934%,3.44390922183046%,9.44774851316907%,4.33631821105229%,4.15547742310567%,1.9211324570273%,2.27863112717416%,1.67662422972254%,8.2773365913256%,130306.187259995,135273.409740686,86664.1087354918,11.9949445080769%,10.4655359076146%,15.0665228335131%,45.1584806254249%,43.859562000298%,51.5053027711256%
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,82.3492658544205%,84.4314503497964%,77.803738317757%,17.2651933701657%,4.45039151551194%,34.416337897424%,2.59615384615385%,2.1745981720769%,4.22230241789968%,4.21092564491654%,0.655453870887955%,13.7280137280137%,73863.1985015175,80622.760944843,53508.3740883741,26.5596236449172%,15.3377876763177%,39.2857142857143%,34.7159128316545%,32.7980969372584%,41.3088883731724%
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,84.0487546369899%,85.961949791737%,77.0807708077081%,11.4457831325301%,6.26925937732441%,21.7051509769094%,1.68858869534305%,0.827586206896552%,0%,1.43968053804119%,0%,7.28723404255319%,76727.895334174,80867.2042954427,59915.2553191489,11.9069447627779%,7.53894080996885%,20.9480812641084%,26.7947257040534%,28.9342259058548%,20.4382183908046%
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,77.9435647584247%,79.1075842331209%,76.2041010968049%,15.165832870113%,9.03584672435105%,30.8894230769231%,3.03374264781756%,1.28807191734872%,5.96089651883643%,7.69631462430004%,6.54497615523763%,12.0775969962453%,62974.968094804,69120.1085347805,39590.3629536921,10.0274889446636%,8.16935002981515%,14.0163419233187%,19.5581243590939%,14.487021013597%,34.1746794871795%
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,90.8840574493359%,91.8013879774901%,82.135406789304%,5.99291921467654%,3.27360880739296%,25.0510352872558%,2.08398765865465%,2.0715592600122%,2.20781851326717%,0.852498017446471%,0.592075299833004%,3.62502886169476%,177648.019882369,182309.137893688,127963.149388132,8.77175657326256%,7.16623126632751%,20.2746566791511%,33.8791297340854%,33.0021149358226%,39.5450568678915%
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,94.5206822191727%,94.5603409600718%,94.2457231726283%,6.89081516504684%,2.19376508869529%,29.3991416309013%,5.08559415356893%,5.66332218506132%,0%,0%,0%,0%,109293.126620346,116740.638121219,57486.2211221122,10.6774112314279%,6.15590997167983%,35.2798053527981%,28.1786941580756%,28.7035069075452%,25.1820388349515%
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,83.3574529667149%,82.1669477234401%,100%,19.0363232023721%,15.978835978836%,30.3696303696304%,1.92342261369765%,0.732370788867964%,10.1408450704225%,7.20486111111111%,6.67008722421755%,10.1408450704225%,109419.162326389,119477.03950744,54200,11.081359423275%,9.70059880239521%,9.73597359735974%,17.8989525569932%,17.8735429176969%,19.8412698412698%
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,83.0525157778936%,82.8804535711816%,83.9387464387464%,21.1386977764483%,17.9438566448535%,31.9830028328612%,9.7864449362924%,7.67070008643042%,20.1553123896929%,7.20821401131522%,5.95317725752508%,13.5765803988121%,81594.540295594,82891.5099691332,74998.5388205346,18.4023099133782%,15.4016095944453%,27.029992684711%,21.3604896157319%,21.5523598820059%,21.5494978479197%
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,90.5202114958213%,94.2536458127495%,66.301512780386%,11.0956360259981%,5.56991947994386%,34.3324829931973%,5.0267343255117%,2.85849093697165%,19.5714659001829%,2.01704977926625%,1.29145876137364%,9.41875265167586%,92966.1875942116,98052.7533229905,48418.8198269079,10.9106529209622%,7.65967820575329%,26.4025525126296%,19.6937714627768%,21.201596216376%,12.0028076743098%
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,87.2196064724387%,87.7038478885276%,85.2382435378387%,6.76728621616847%,4.67961075920316%,16.1152310325157%,3.63167954790991%,2.04268881591655%,13.6089318044659%,1.09851252917187%,1.26126613798143%,0%,130631.933334905,136917.780712913,88205.3343076361,11.2527339920054%,10.7750022330068%,9.77837929284385%,21.0019115937174%,22.6193210528734%,10.5440187189237%
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,91.8584106332571%,92.0940362852524%,90.9719554360354%,7.14102798609841%,7.14824436436772%,7.62317942361326%,3.50798382815371%,3.6266703276588%,2.55474452554744%,0.743153155122292%,0.828965012800195%,0%,155346.498349763,161160.013312203,104999.936655405,10.826551183454%,9.77017968794007%,21.031272380043%,25.0101592227271%,24.3397497999242%,32.1289695398574%
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,80.3500791139241%,81.288108364672%,71.6321683067526%,5.88947632690433%,5.17959781946343%,12.0514653323803%,3.9918533604888%,3.1085937941027%,12.1170157521205%,0.863589743589744%,0.413223140495868%,5.61345333964946%,168415.219692308,172020.766933166,130388.737565135,9.01343821697804%,6.6977324188626%,31.8652849740933%,46.2666509141389%,46.6377904774453%,43.0450321658327%
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,88.7785174854617%,88.7496981834193%,89.1409180210752%,7.04398107587174%,7.08009070762253%,6.69335668710121%,1.79934496357195%,1.68524722735675%,3.22116249775058%,2.11183069786742%,2.10607176007426%,2.18393107593669%,164272.112556871,166552.365953974,135723.943097576,7.70566760004253%,6.06253618992472%,26.1481802426343%,32.8286843274334%,31.9981945966858%,40.8857750531715%
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,72.7764705882353%,73.6554476058293%,64.4844517184943%,14.775743551351%,13.5808978608015%,25.970359915314%,2.7825237979009%,3.08971000090342%,0%,3.51330962388188%,3.83935932163467%,0%,142403.530552861,144896.307855376,115542.906091371,10.6817016914403%,7.76140027637034%,34.3604108309991%,26.5422851695492%,26.7691612028035%,24.4177840508116%
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,76.9590931493346%,93.3467741935484%,68.2436207859937%,5.00185942729639%,3.12895069532238%,6.31745574902864%,10.0904573831061%,2.69020596889449%,13.9919277339996%,1.5850144092219%,4.27645788336933%,0%,57296.4040986231,60842.9805615551,54435.5458515284,0%,0%,0%,74.3322475570033%,85.6826801517067%,69.8183914672816%
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,81.3697929977%,82.1343402225755%,80.5599410588359%,8.73983739837398%,2.2965716646014%,14.9521434891016%,6.31769862461585%,4.15613307715644%,8.46385542168675%,2.73241206030151%,1.77836922332446%,3.76273843741834%,76577.4501884422,92017.4176143237,59902.9308858114,7.97362110311751%,0%,14.3550998381004%,70.3848503359805%,74.2151909218918%,66.5487010375613%
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,84.6153846153846%,100%,60.3174603174603%,27.0637408568443%,16.9102296450939%,26.1287934863064%,8.57946554149086%,2.45098039215686%,16.8316831683168%,27.6363636363636%,0%,100%,50101.8181818182,60834.1708542714,22000,36.6366366366366%,#DIV/0!,36.6366366366366%,41.8509895227008%,100%,20.1438848920863%
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,90.765207817231%,87.0786516853933%,99.0247561890472%,10.3739699978872%,12.0953502060035%,9.39493190829167%,3.09264488368966%,4.30107526881721%,2.33019335647%,4.3062926459439%,10.7779886148008%,0%,81138.3927217589,87799.4573055029,76706.0934343434,18.8565697091274%,6.5279091769158%,32.7641408751334%,77.2033898305085%,64.2436727486757%,83.8476124806068%
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,80.2162350684454%,75.9453170447935%,83.9047369798482%,14.9645978184602%,13.6933922810372%,10.6561341286474%,4.12823088866563%,4.46130500758725%,4.40479509339281%,5.6304347826087%,1.37878207583301%,3.05676855895196%,87928.9869565217,115490.233626963,58552.4266999376,24.5441103992114%,23.5233160621762%,19.2148760330578%,58.9410395655547%,63.1723643318193%,59.3556784900749%
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,85.877598152425%,85.9146876072123%,85.0206482292579%,11.8686285083327%,8.10919898726746%,18.7796484047996%,5.17215813043092%,3.47353497164461%,8.2443729903537%,5.44910582224015%,3.24784807880025%,13.0850750662349%,61350.8336694904,66927.8605022628,45926.7412422726,13.4056113105267%,11.3271871698838%,19.1270643747894%,23.5622384126492%,18.408638608388%,35.3706476974916%
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,90.1009841126906%,90.4924890663624%,89.8966165413534%,14.4918344696369%,11.8260427263479%,15.5408753096614%,4.17275747508306%,4.60639724190768%,3.83311603650587%,7.34580239862935%,4.46522378650977%,15.7867224255097%,73572.5278412336,85123.5627232612,50557.7365394668,12.9667345553293%,8.60565030594975%,23.109756097561%,32.267148398066%,28.8685171038112%,43.7520938023451%
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,74.1246290801187%,79.6962693958402%,76.0762607626076%,14.7380324161327%,0%,21.3160854893138%,3.09083263246426%,0%,9.86577181208054%,4.13664264745129%,0%,12.5303152789006%,64024.9271417134,71827.009942005,52215.844785772,15.758058097891%,9.88626421697288%,19.0279214064116%,51.696192989069%,62.2647738527567%,42.8008998875141%
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,89.0266816986096%,92.7001569858713%,85.1603281133483%,30.7762557077626%,0%,45.265278710544%,0%,0%,0%,0%,0%,0%,67701.6209371043,85540.9060118544,50368.9404553415,49.0457168220151%,0%,62.4293785310734%,48.5028571428571%,61.9385342789598%,40.5641370047011%
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,87.3245122224714%,92.0362473347548%,84.260941370768%,9.28929519315836%,7.50424768737021%,9.97613681559061%,4.78666666666667%,3.12029266193243%,6.34626239819369%,3.53895937130823%,4.79555195181281%,2.69502156017248%,75202.3000667728,97220.0254836094,59031.409251274,18.4013968377146%,6.73649131159248%,18.3942480527262%,59.4952588274361%,58.5428085428085%,63.8691700391428%
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,86.5632318501171%,87.9690408543157%,81.6425120772947%,11.4332247557003%,8.9893664551872%,18.6596910812157%,4.65406955370929%,2.63681592039801%,10.8044627128597%,2.83226242813662%,2.48357278093329%,4.14201183431953%,97948.3555968887,101513.659650295,88894.9704142012,21.1758241758242%,17.9254457050243%,29.4793536804309%,39.3555961387947%,44.1515503529622%,27.3523523523524%
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,83.3396440742143%,86.081740544937%,82.5002292946895%,8.71459694989107%,4.35143663843215%,12.4726775956284%,4.35704192180876%,3.5257061572851%,5.23266340756835%,4.0833711949114%,1.700720444077%,6.39244024458032%,75311.4589959109,79930.5739931499,71573.9244024458,20.0781039590628%,6.18591934381408%,29.1111111111111%,72.0549665693916%,74.5474173725295%,69.2622950819672%
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,88.9851210304242%,86.9494511451416%,91.4355628058728%,6.00858369098712%,1.55763239875389%,11.791483113069%,5.52369453667371%,7.06605222734255%,3.71039238220325%,0%,0%,0%,72010.9957574245,89757.7369077307,51696.4388938448,16.5394013439218%,5.18923136948888%,23.8393977415307%,55.2702529207857%,69.6896273220261%,35.9451084550686%
