,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,79.6892980437284%,55.9850374064838%,100%,5.63866513233602%,12.2194513715711%,0%,0%,0%,0%,0%,0%,0%,41713.357400722,50910.9131403118,#DIV/0!,0%,0%,#DIV/0!,90.3337169159954%,79.0523690773067%,100%
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,69.5632183908046%,79.3017456359102%,62.0661157024794%,22.48824283882%,17.9551122194514%,24.3085880640466%,4.71475719000472%,24.9376558603491%,0%,13.0204890945142%,9.74842767295598%,22.103861517976%,31137.111698612,42805.8176100629,54189.1891891892,21.584984358707%,56.9444444444444%,18.7147688838782%,56.5626336041043%,82.0448877805486%,31.2954876273654%
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,83.6887835703002%,57.2139303482587%,94.9030470914127%,56.3543936092956%,15.3417015341702%,70.415512465374%,2.77044854881266%,0%,0%,57.1495988673903%,0%,70.6946876824285%,26478.0084945729,64864.0579710145,38000,28.9948453608247%,100%,13.2966168371361%,43.6456063907044%,84.6582984658299%,29.584487534626%
"Monroe County (East) PUMA, New York",Finger Lakes,91.7333333333333%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58207.4127906977,94021.2765957447,45772.02268431,0%,0%,#DIV/0!,48.2179226069247%,8.97043832823649%,100%
"Monroe County (North & West) PUMA, New York",Finger Lakes,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,95174.025974026,121000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Monroe County (South) PUMA, New York",Finger Lakes,88.8807785888078%,85.9384615384615%,100%,10.0704934541793%,9.48553054662379%,18.7660668380463%,0%,0%,0%,4.02869757174393%,0%,25%,91680.3941965508,107120.401002506,43385.5319148936,14.8640832851359%,16.474358974359%,#DIV/0!,63.2225579053374%,55.6002143622723%,100%
"Ontario & Yates Counties PUMA, New York",Finger Lakes,88.5300668151448%,100%,86.7438867438868%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20672.8301886792,60363.6363636364,#DIV/0!,0%,0%,0%,60.6904231625835%,54.5454545454546%,61.6473616473616%
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,61.519805982215%,87.8172588832488%,18.3510638297872%,32.5221238938053%,37.4365482233503%,0%,0%,0%,0%,38.7647831800263%,42.6300578034682%,0%,48402.1024967149,47245.6647398844,#DIV/0!,0%,0%,0%,27.4269557021678%,35.6997971602434%,27.2511848341232%
FINGER LAKES,,82.3443708609272%,81.4379279547484%,85.6675206376316%,18.8064889918888%,11.9594166138237%,24.2243436754177%,1.1238279095422%,1.61917098445596%,0%,15.4856912535268%,6.24770305034914%,25.8016281774381%,54505.1656747628,86578.9855602267,45120.3281027104,14.1464169633184%,12.8503937007874%,12.5703564727955%,60.0141584567282%,56.8109820485744%,62.6093874303898%
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,89.7121861604409%,83.7375178316691%,86.8932038834952%,3.63924050632911%,0%,11.2012987012987%,7.63574660633484%,0%,24.6800731261426%,0%,0%,0%,67763.1467576792,116367.461669506,54817.4251497006,0%,#DIV/0!,#DIV/0!,78.5337552742616%,100%,100%
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,83.7053571428571%,100%,79.4807788317524%,34.8793085274586%,16.8175937904269%,28.1606765327696%,4.74629764505948%,0%,9.12272515165656%,33.7777777777778%,14.90727532097%,28.4861809045226%,40635.4444444444,61784.5934379458,32602.9671717172,48.4060188727366%,0%,63.121387283237%,57.3521661220618%,71.4100905562743%,63.4249471458774%
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,91.6284052647689%,88.6699507389163%,95.3540934203918%,2.54768574096305%,0%,4.398894518655%,3.12989045383412%,3.47123157394199%,3.25891711573005%,3.19024553198597%,0%,5.03028706873848%,58889.0429263404,70449.5,47807.9181494662,16.2903225806452%,#DIV/0!,22.7136431784108%,75.1900760304122%,100%,69.2768309534777%
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,86.9586374695864%,88.6292509910286%,75.9259259259259%,10.2126322404944%,3.6036036036036%,8.05340223944875%,6.19598295800365%,1.37844611528822%,0%,7.58254057078903%,0%,0%,73429.7006155568,83546.6101694915,33718.9944134078,8.48249027237354%,8.43373493975904%,0%,86.5402744317587%,86.5405405405405%,89.405684754522%
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,84.9781234807973%,92.6237463604012%,93.0022573363431%,18.9596361569073%,7.96368352788586%,17.4825174825175%,7.06380208333333%,4.69973890339426%,0%,21.7200610221205%,3.9119804400978%,20.2265372168285%,82613.4210526316,113538.379322389,29651.103565365,43.790546802595%,41.3940256045519%,36.8731563421829%,69.3291642978965%,81.7639429312581%,52.5874125874126%
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,92.2496147919877%,92.2735127129104%,91.9865035849853%,3.97991211550534%,3.81009375623379%,2.66990291262136%,7.44179192455055%,2.53678335870117%,14.5893371757925%,2.10455987973944%,0%,3.53049060064191%,78925.144479706,87226.5115034778,29621.5224913495,0%,0%,0%,65.3735091023227%,79.0145621384401%,40.8460471567268%
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,93.5361216730038%,100%,89.2277227722773%,12.0239623448866%,0%,15.6332205937617%,6.95711678832117%,13.4566326530612%,3.58915616647575%,9.12093495934959%,0%,15.9343098091434%,41943.8262195122,54872.2745625841,31490.3225806452,22.0657276995305%,0%,39.1123439667129%,72.6572528883184%,71.0459183673469%,72.9049229612928%
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,83.3381047809906%,82.3140495867769%,82.956584140653%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46745.0188938509,76475.702811245,43405.1996057171,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,79.9779371207943%,100%,61.3194114855245%,30.852378011118%,0%,57.2053994892375%,2.33435087089244%,0%,5.81135449262405%,14.8735632183908%,0%,16.7956656346749%,71285.0574712644,93067.7664974619,45454.4258373206,30.4231027535259%,0%,65.2054794520548%,54.0148239654108%,44.199494036863%,73.3673841663626%
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,87.4950019992003%,89.3669745438162%,86.6906474820144%,5.14718540196247%,6.87292358803987%,4.74919957310566%,2.3499491353001%,3.16317626527051%,2.08282877209978%,1.14246544042043%,0%,2.59336099585062%,64341.5514680681,90236.9296697757,40754.9651567944,0%,0%,0%,83.9128937855053%,83.2848837209302%,89.0786197082889%
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,93.4873433275989%,93.6313175576979%,93.3104631217839%,6.27510585169906%,0%,10.9635811836115%,6.41532016756433%,0%,10.8370400323494%,3.89064143007361%,0%,6.80147058823529%,54069.6240799159,62785.5538221529,59589.2514395394,18.8790560471976%,0%,100%,95.6139398545218%,91.0171730515192%,98.7860394537178%
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,92.2518159806295%,92.8533824690708%,91.7037424757917%,3.37025847599866%,1.30255941499086%,1.77415988311417%,2.18239745121466%,2.25138299240962%,0%,2.78215223097113%,1.61587526576896%,0%,72262.1572178478,87302.224238129,36218.8529993408,9.20542635658915%,8.21382007822686%,0%,86.1430010070493%,82.4725776965265%,90.2734293466917%
