,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,86.5329512893983%,84.4370860927152%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,41546.357615894,41831.3725490196,#DIV/0!,0%,0%,#DIV/0!,62.1676891615542%,58.1447963800905%,100%
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,44.5544554455446%,100%,100%,73.4126984126984%,0%,68.9839572192514%,0%,0%,0%,80%,0%,100%,30188.8888888889,90100,15400,100%,#DIV/0!,100%,90.3553299492386%,100%,85.6060606060606%
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,58.1609195402299%,40.2868318122555%,54.6850998463902%,32.6950354609929%,0%,48.7179487179487%,10.8686868686869%,0%,23.0505569837189%,28.2608695652174%,0%,22.3314606741573%,35278.0764163373,76311.0679611651,25253.6231884058,28.266228430567%,0%,26.2103505843072%,53.9007092198582%,63.8977635782748%,52.0032051282051%
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,52.7472527472528%,42.6666666666667%,100%,4.07523510971787%,0%,0%,0%,0%,0%,13.5416666666667%,0%,0%,51672.5,49373.4375,17020,0%,0%,0%,55.4858934169279%,45.945945945946%,76.0330578512397%
MOHAWK,,60.4873534855028%,51.8729641693811%,57.977207977208%,28.8659793814433%,0%,45.9762944479102%,8.6578693273254%,0%,21.1977935382191%,24.3753187149414%,0%,23.955773955774%,36929.2095869454,59996.7346938776,24593.8565022422,23.4193548387097%,0%,27.2024729520866%,56.9673202614379%,60.3809523809524%,58.2041343669251%
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,86.3266283524904%,90.1664730933024%,88.8330541596873%,37.238436123348%,16.5792922673657%,38.7672740613917%,3.65657216494845%,3.58342665173572%,2.91371994342291%,24.7526583448914%,0%,32.1181646763042%,33242.7766990291,42634.5641906398,29334.3465792708,11.53207308392%,4.53770044353463%,16.2003808407793%,9.66848916880061%,3.96461336828309%,10.6446036058286%
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,79.8460354118553%,83.0601092896175%,73.035143769968%,9.76451177441128%,1.38433515482696%,17.2869886188865%,1.19357306809487%,1.38433515482696%,1.26182965299685%,0.732741997686078%,1.66666666666667%,0%,49870.0134978789,56920.9605263158,13768.2565789474,10.5684090259926%,0%,19.8391420911528%,47.4087426768815%,52.4954462659381%,42.4560320888615%
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,88.7083993660856%,98.4957264957265%,82.9522476279359%,24.4107874198284%,5.27068924397806%,32.926992632284%,4.6379326969434%,12.5%,1.10392682542186%,14.213934792318%,0%,21.8638664916557%,46605.3193389906,65658.1881291218,41198.1111111111,20.2643171806167%,10.749063670412%,25.754060324826%,34.695927671741%,36.322442165514%,30.020093770931%
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,79.077770130764%,87.463976945245%,76.5443425076453%,31.0848299021755%,30.8587479935795%,33.5899409802412%,6.02471678681771%,12.7074442863917%,2.54835738409579%,19.40818102698%,21.5815485996705%,19.9360767079505%,50248.683637946,52763.3717737507,45225.7289879931,33.607230895645%,34.8689436060365%,31.4822725331055%,46.6929478756023%,49.4783306581059%,39.9281498588658%
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,80.7848236823988%,84.9872773536896%,86.4566188572772%,44.3589305056724%,18.8078489448352%,42.3889170467985%,9.41220516660427%,2.4904214559387%,8.91178801947684%,26.8724552599186%,11.87624750499%,25.7002991569214%,33918.5484329135,39762.5748502994,25290.3705917513,25.119375882709%,9.40798531436439%,25.5841467021591%,9.59407475455015%,19.3261754905591%,8.08434352057367%
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,82.390140027102%,95.2300903551166%,83.6004006009014%,48.0727235793002%,34.1750522118853%,43.9648033126294%,8.14094775212637%,1.50392327811683%,11.5517859276072%,27.1381578947368%,23.4995586937334%,22.9709493860437%,36573.3330200501,45107.0644307149,30919.7836166924,27.5315633605237%,18.9547581903276%,23.325586308895%,1.21027205695398%,1.32902980823998%,1.7438239568196%
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,86.1354175516099%,94.3453510436433%,94.030070754717%,43.9439922747965%,22.5759238931577%,41.6130165047407%,7.80631578947369%,0%,8.39036001190122%,28.2177729559128%,14.8833467417538%,28.3430004702932%,31487.2669888549,35916.3314561545,28139.449618967,28.9517208789478%,9.30670685757347%,25.3511034680424%,4.03503931576769%,0%,6.84771157672949%
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,80.1111259874146%,82.6955475330927%,79.6156230626163%,34.3345203075812%,12.6174765046991%,33.298755186722%,13.2012352032939%,23.5919234856536%,7.22515602496399%,21.9771037018467%,5.61699650756694%,20.9624669054664%,37932.3696832957,47398.4284051222,30060.8182201603,23.931867380654%,7.30557737627651%,29.1467650890143%,3.98410486659442%,11.6776644671066%,1.95020746887967%
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,88.3229691047281%,96.7640449438202%,83.2275611967362%,16.8833375817826%,2.23214285714286%,24.890750182083%,0.75502499744924%,0%,1.73099415204678%,5.76665176575771%,0%,8.19716775599129%,51825.8884666965,63402.775197399,28286.9070208729,14.9296446458383%,0%,26.0370912640312%,28.2436910527657%,36.9897959183673%,24.3080844865259%
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,76.545300592718%,79.9071131752628%,75%,31.9706164164804%,21.3989976029636%,31.5321180555556%,7.47691841985773%,0%,9.1998502059668%,24.788817377313%,18.6907311104313%,25.8048032703117%,38510.358004827,48634.4753747323,21456.7652611705,28.1229921982561%,12.082957619477%,28.5866809021754%,26.8186475409836%,51.6670298539987%,17.4675819984744%
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,75.092936802974%,60.8659450457952%,88.1128584643848%,26.4114301567485%,16.5543071161049%,35.7527733755943%,2.72323515661524%,4.55981941309255%,1.04166666666667%,18.1344450234497%,0%,36.5354330708661%,54664.4054016811,68871.8247998059,35422.641509434,34.9913644214162%,22.532981530343%,50.0341530054645%,43.2853364678225%,63.7181696343098%,21.226795803067%
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,81.6494149414941%,91.6388703580165%,63.3446467139772%,32.3146243510628%,17.6909821941413%,53.6992198009147%,4.63341811345792%,5.03825136612022%,3.24599708879185%,24.6520600799228%,14.6323707837903%,42.5718460789089%,49387.885483871,61662.3890458062,23653.1619537275,32.5999149659864%,25.2983293556086%,40.2381698527107%,52.6405766298572%,50.6973696527193%,60.0218526162438%
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,90.4398563734291%,92.0425002825817%,90.4393519194278%,24.382017280414%,20.1722362632219%,25.6525434017239%,1.89665471923536%,0%,3.94042817251008%,12.5558312655087%,10.671742601007%,9.2479018721756%,39921.4009774261,51756.4893617021,23375.9398496241,45.2460751455283%,33.1428571428571%,45.6866804692892%,24.1503880117742%,29.4923448831587%,20.0110405741098%
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,62.7024660732526%,80.7907176622261%,49.7362705553832%,48.6887877976987%,44.6011281224819%,44.5763179685344%,2.8080229226361%,0%,0%,37.8403537351641%,37.2872340425532%,24.4541484716157%,50681.0646387833,63069.8451730419,50647.7678571429,29.849012775842%,0%,48.1654436290861%,39.2806770098731%,47.4789915966386%,35.3321829163072%
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,90.4297994269341%,96.0629921259843%,91.2181303116147%,33.2393041842971%,16.218487394958%,44.04659188956%,5.9134906231095%,1.97628458498024%,10.9996866186149%,22.211660329531%,13.2969034608379%,34.472049689441%,49752.7379552352,86125.0801549464,26297.2789115646,23.0715629572852%,16.8509741969458%,20.0666956647818%,9.76485148514852%,22.3406394530465%,5.58674151296445%
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,83.2596336070752%,82.905138339921%,81.0030917210581%,28.1188241106719%,16.2237762237762%,26.4635124298316%,4.31908329660643%,0%,3.26666666666667%,23.5963581183612%,10.8462455303933%,19.5716709075488%,47797.7241514617,58758.4806077569,25086.0377358491,16.2562814070352%,0%,9.59451741861793%,52.643379749823%,54.1421036301582%,54.6402237477752%
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,75.1105216622458%,90.9785376500546%,68.6333333333333%,34.3855562026791%,9.55631399317406%,51.4264074728604%,2.17445021003212%,0%,0%,10.8102805571905%,5.23790483806477%,18.2612918892666%,36668.9854191981,52842.8015564202,23535.8147229115,24.5439805431698%,87.9472693032015%,11.8375241779497%,11.9261304798067%,41.2610619469027%,8.2%
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,81.3442055843835%,93.5679611650486%,67.6793794440853%,31.5673662830061%,5.86283185840708%,20.2333333333333%,5.68484042553192%,3.5806953814219%,7.79084049833304%,27.8857837181045%,0%,6.78127984718243%,37239.9007878611,54527.9101899827,31226.2990455992,19.372197309417%,12.3052959501558%,18.265306122449%,14.8514851485149%,33.3679294239751%,7.79220779220779%
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,79.5035378726366%,90.1401141670991%,79.4291151284491%,29.3729372937294%,7.31707317073171%,28.7780401416765%,7.50814740536475%,3.00632911392405%,9.82196200262875%,13.3060986285381%,8.11744386873921%,14.4705318639195%,49092.588030949,65193.8095238095,28736.1214953271,30.0204618532593%,13.5916359163592%,28.6625708884688%,62.4340007318731%,71.5441282680919%,58.7484160249537%
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,80.4292608585217%,86.8089396740044%,71.6524743922004%,29.5310784672487%,18.2868698541095%,35.2568476459694%,2.11815001943257%,4.47271235125154%,0%,14.4718143060161%,11.3046844754162%,12.676541508784%,59172.3684210526,89638.6456908345,43008.4470094439,30.6412862687119%,23.5677083333333%,21.2310089598753%,21.1241682004814%,32.8050713153724%,18.6370839936609%
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,84.1155934833204%,82.9465541490858%,88.0418535127055%,24.2777189532597%,15.7482305358948%,29.9728752260398%,5.06620610247553%,6.62297343911694%,3.58744394618834%,11.6209361309661%,0%,23.5993208828523%,68496.905695181,99577.2530733362,15000,27.0283479960899%,20.0349192492361%,37.4815905743741%,28.288344515525%,40.213987473904%,12.7460168697282%
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,70.7481162540366%,71.9580983078163%,68.8365650969529%,56.6308243727599%,35.6245380635625%,67.4259681093394%,9.31263858093126%,1.50793650793651%,12.5%,43.5907189045264%,34.1545352743561%,49.5640509725017%,36922.1757322176,30700.7838745801,49446.4150943396,49.2316962940645%,59.9107142857143%,45.81351094196%,21.4076246334311%,15.2798789712557%,13.9331814730448%
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,72.1181001283697%,48.403122782115%,70.5426356589147%,42.5062850512473%,21.9287469287469%,45.8380475189914%,4.64446670005008%,4.70316114109484%,6.25756964069439%,27.7678889284443%,11.58357771261%,23.5042735042735%,34147.9263082948,46127.3460410557,21662.108132667,26.0249123231346%,31.6348195329087%,17.6967449526164%,11.8739122026687%,8.35380835380835%,10.6836916114433%
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,88.9940109365507%,95.012987012987%,93.7296532200991%,38.1406129281483%,13.4891348913489%,47.3640428408027%,0.454426286812899%,2.6302478502782%,0%,27.8260021457134%,3.33515582285402%,37.0733917245545%,37126.5746610748,61384.6200109349,28364.6191646192,33.005366726297%,0%,44.3693693693694%,27.2727272727273%,42.0664206642067%,20.307788291567%
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,90.8552074513124%,94.8893572181243%,61.2377850162867%,17.2081055001608%,9.74989402289106%,51.433389544688%,5.49828178694158%,6.86695278969957%,0%,5.77819198508854%,0%,65.9574468085106%,91250.8946877912,103645.430316491,19000,8.36707152496626%,0%,49.6%,52.3319395303956%,54.4298431538788%,57.8414839797639%
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,85.5834806769386%,90.4303278688525%,88.7083560895686%,29.0027351146644%,6.87489094398883%,31.7078677051586%,6.37058138029263%,8.41006752608963%,6.1486782532496%,21.5671806980004%,1.29163834126445%,24.8576265968909%,47590.2324208662,88367.4824382506,30866.3682482841,23.5405032997317%,10.7692307692308%,23.841059602649%,26.1361245529139%,39.1903681730937%,20.7133988034767%
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,76.0228571428572%,83.0271216097988%,78.0896686159844%,43.3684210526316%,34.974283614989%,46.8407479045777%,6.34168359286843%,4.67055879899917%,8.7719298245614%,25.4058929645219%,23.8145416227608%,23.2651023464803%,40978.382441371,57195.6796628029,29107.2192513369,15.6712852365026%,5.18518518518519%,20.7576953433307%,16.2380038387716%,20.6465833945628%,15.9252095422308%
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,90.2600629451715%,100%,85.0153846153846%,28.1459126098937%,14.9558498896247%,27.8397565922921%,13.9945186707777%,7.05669481302775%,23.0642504118616%,12.6628739218205%,0%,11.147303655447%,45704.2954670582,85639.844256976,31805.7767220903,35.2772922294613%,24.7941445562672%,33.4473909324209%,13.6242682277807%,39.6799116997793%,3.46444386559%
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,94.471013647498%,98.0737887094384%,56.5656565656566%,24.0088308343299%,18.7293729372937%,25.3874538745387%,3.23189431469686%,4.11782386534415%,0%,13.4831460674157%,6.26982927934733%,0%,105577.305840227,118645.58090346,28787.1148459384,36.7409293443666%,27.2826086956522%,57.4412532637076%,21.4522363335174%,16.0278334709282%,71.7343173431734%
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,77.2031204854088%,84.3590432679387%,73.8756947953512%,39.7512308888313%,15.1507722481%,56.1026065370294%,4.18745275888133%,0%,0%,25.5988023952096%,6.97674418604651%,32.8317373461012%,48820.1347305389,65578.8467664861,13563.5262449529,40.3955696202532%,20.6652512384996%,35.5193661971831%,18.1135009069707%,30.7183133120863%,5.99917252792718%
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,82.775888133031%,75.5051400212691%,86.163753449862%,28.0412371134021%,14.4657863145258%,22.0502645502646%,4.43286719678274%,2.11658570437196%,5.16489268888501%,18.2513411710992%,8.4037558685446%,6.42750373692078%,50909.434996005,90005.9906103286,24243.5643564356,10.9623964308477%,15.0716776443239%,4.49909179823949%,5.03834300867197%,13.696117395292%,3.37301587301587%
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,79.9064618553162%,77.103836111669%,80.0394421749542%,33.4300440318121%,20.7077785564121%,33.2710607741258%,10.8655458571613%,17.9426776599922%,9.66937437651418%,24.9154271599635%,15.1081010679865%,26.0471664906723%,31699.249691242,37335.7124251107,25626.1609570419,16.2450976864678%,9.56325301204819%,18.8213495905804%,0.969382530634536%,2.20742817098809%,0%
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,81.0052600818235%,89.1109942135718%,66.0613397901534%,10.7081174438687%,5.46110252447192%,11.9319847552038%,4.4778362133734%,0%,7.78138026864289%,3.77358490566038%,5.96221959858324%,0%,100152.091089466,141160.941263282,33718.1042654028,9.94639666468136%,0%,10.8457069076824%,17.0454545454545%,23.9152892561983%,9.17619466432131%
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,89.845731191885%,88.8147768086198%,87.051876845213%,18.2592494011179%,12.8165007112376%,22.3241590214067%,7.03980908992299%,5.37362040890176%,7.95604395604396%,11.0744580584354%,8.1263238975544%,15.8125915080527%,84904.4607785488,113962.031580974,31222.8942905596,31.2580506655217%,19.1307722157548%,10.9184075679937%,13.4437975817286%,21.6782206816869%,0%
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,90.5051952705124%,93.5881627620222%,69.5530726256983%,22.8336805981125%,17.6140558098332%,32.132701421801%,0%,0%,0%,0%,0%,0%,165838.452098179,175733.610013175,60000,1.4218009478673%,1.90243902439024%,0%,18.8013236916289%,22.6487523992323%,0%
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,77.2676923076923%,81.2119160460393%,66.7568786648624%,11.2028861672838%,5.57271195957327%,13.0328441649196%,0%,0%,0%,3.23351385791653%,4.23092955398083%,0%,103324.491876394,112972.521884118,#DIV/0!,16.992362982929%,5.10289442864313%,33.5294117647059%,10.889585113453%,16.100505334082%,0%
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,83.6642896324739%,88.3195177091183%,51.5177797051171%,12.7345346461081%,6.07510662644336%,68.2567215958369%,0%,0%,0%,5.41568318908996%,2.63083048919226%,38.3838383838384%,128715.602806189,134686.346274175,85710.3825136612,13.9707703740401%,13.7407889033377%,0%,25.004644250418%,28.0037449287423%,0%
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,86.7779977619007%,83.6788707543008%,89.6867139263664%,40.734693877551%,35%,32.5655281969817%,3.03190087002373%,8.03072625698324%,0%,29.5208808649936%,10.6747496046389%,35.0841407445181%,38640.4523360778,57973.0890880337,20912.8541226216,21.7605292883653%,14.905869324474%,25.3961169381834%,7.71428571428571%,9.74747474747475%,11.0206513105639%
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,80.5318418212148%,85.7187565199249%,72.8221305508372%,27.0367555893293%,22.5933554222262%,29.9194252985147%,10.3478699268969%,9.68737939019684%,10.4817708333333%,14.6521262337029%,15.5044420104661%,11.3128957014329%,48416.7680161263,70757.347826087,41095.8415841584,68.4139330402435%,49.7545008183306%,68.3333333333333%,71.0069614668105%,78.9310344827586%,65.684575389948%
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,79.6601097283554%,78.6324786324786%,78.7858117326057%,28.8753799392097%,14.5862068965517%,31.8024263431542%,3.05433571475388%,0%,8.7792012057272%,18.2093062321519%,9.34782608695652%,17.6334776334776%,58201.1620333015,69373.9753994421,35291.6804407714,27.7543648404576%,20.8807521029193%,18.5923515052889%,72.4906050868689%,79.537662846508%,64.2264590307088%
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,88.0514112252148%,88.2794134109482%,86.7716834313912%,13.6929686225461%,10.2276057438703%,21.4088196769029%,8.5030835357877%,1.70701968298206%,14.7895633932083%,5.07591872661923%,5.89652548820695%,4.96500437445319%,38308.6017897092,48158.7577022461,27375.9460418885,22.4448217317487%,18.6171804848848%,23.0882593744883%,38.8526727509778%,44.8396873504546%,37.6071706936867%
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,84.6163553760727%,87.3892652423137%,80.5258033106134%,26.6995860142651%,17.2380800510285%,28.7607170693687%,3.764895788824%,2.87380258225739%,4.80170435922648%,20.7233407904549%,15.424368912741%,16.9286577992745%,46692.3329007138,60586.5382892969,41466.4233576642,29.0113770105924%,0%,37.8085991678225%,78.0452481603257%,83.962379381947%,73.4056987788331%
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,88.5971636642392%,93.5614525139665%,86.4714664897147%,10.5491160285681%,4.88985717743888%,13.3746850164761%,7.10706150341686%,11.5175481957489%,0%,6.7759030932295%,1.62710852366025%,9.74580335731415%,53785.1659076122,62409.0634441088,46018.1052631579,13.4622976707462%,0%,18.9760712298275%,52.3782665914646%,81.6608996539792%,29.3076317859953%
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,70.9602954755309%,92.4581005586592%,39.850026780932%,19.4397443128408%,11.5175481957489%,31.5106215578285%,8.20556501987507%,10.3064630322646%,3.76447876447876%,0%,0%,0%,53733.1997075667,68213.1678228064,37722.3407164342,30.403511555344%,16.735112936345%,35.5358874878758%,17.8418589769228%,20.2113369750157%,15.4256868265217%
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,82.8322876169214%,85.8399703648824%,77.4453981473613%,23.0525247399137%,13.5789552350348%,31.3937459188856%,4.77018535351539%,4.95560011458035%,5.98729440431642%,14.5824620103165%,2.19009601898802%,24.1523098869746%,45053.2626980808,61570.9742151257,35617.1428571429,33.2152588555858%,26.311397234144%,37.4137609546895%,28.2479066226846%,36.6190867648158%,18.4865413915693%
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,84.1379736663164%,91.8061555075594%,78.4082964343976%,31.0397752399781%,19.2966977564911%,31.0651710392139%,6.96346675818176%,4.65757199944881%,11.0708440495675%,24.5316288296231%,15.7329804440523%,20.8649130628622%,41655.9169054441,60958.9913248052,36199.6297513419,27.6074370056267%,14.1802067946824%,28.9194471590116%,34.8953712884204%,47.3657675825561%,32.149809956429%
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,87.5981251976881%,88.094870210136%,86.698161534521%,29.1694450618656%,29.6190476190476%,28.8999098286745%,4.49075265128777%,4.83572420175844%,4.73936320090166%,21.6189600840336%,17.1796895553802%,24.6980042016807%,41400.994944853,56323.4157677804,33815.2742382271,24.7922699232028%,22.1795223716717%,25.6033512567213%,18.4831197056136%,23.5442176870748%,15.2439635307083%
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,83.8193054225781%,93.2614555256065%,79.6334994373895%,19.6010657449413%,10.3082851637765%,22.2911016401911%,2.80219302062484%,0.943396226415094%,3.69367935042191%,9.2938733125649%,3.75722543352601%,12.6968106580541%,52293.1723779855,67812.5433526012,54364.534351145,25.1507998950957%,11.9840213049268%,29.7567673597489%,43.7171455317923%,60.2601156069364%,33.6174609324551%
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,85.6568736141907%,89.8994463902384%,77.8068937714171%,7.18559327054085%,9.42007060010086%,3.59872611464968%,4.55396132252027%,4.78320715760496%,4.7160542346237%,1.86862967157418%,2.23702400402162%,0%,76823.2271477107,96951.1114741737,50554.4888888889,11.6225406849648%,15.190172454524%,5.79598145285935%,49.9970380901605%,56.5607665153807%,38.1847133757962%
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,87.8344331133773%,90.7608695652174%,85.8624809906583%,24.0295003438545%,10.3643038689636%,29.1604816097641%,2.70188951739078%,3.09534919894229%,2.74077728443787%,13.7822701816692%,7.39390783650091%,16.3387943576444%,52956.1094795793,66957.4138679163,31467.2538513061,28.7988489742876%,17.9008959590419%,29.5740032768979%,46.3621262458472%,61.3088079235939%,37.1062180438727%
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,84.3700396825397%,90.6784525312823%,83.8524919614148%,18.9602324748219%,17.414823953687%,18.2273828418678%,8.10331965684446%,7.12253829321663%,9.55508278605124%,9.05403021929567%,13.8625142423092%,3.45116836428999%,52721.166323711,67920.1291302697,51765.6004195071,37.4694602798549%,33.0100930140511%,38%,45.0619004020541%,51.2479832969536%,37.2650572216189%
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,83.4762960793339%,80.1368843922035%,82.987610619469%,22.98369547022%,15.4280225717373%,23.3913788181559%,8.48627578366087%,9.86389785323418%,7.38110159459648%,14.7218045112782%,6.01559598960267%,14.579423306603%,42563.4606516291,55439.3130337913,41557.1650071124,20.0771924808806%,11.1256202663881%,18.9962031324158%,51.4417763488395%,49.1285010217574%,51.8812446474451%
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,75.9278803869833%,83.5384194695105%,79.5811518324607%,31.9666691246958%,8.76239962210676%,26.2511373976342%,3.18811701838602%,0%,6.5843621399177%,24.5800996177459%,5.89198036006547%,21.734022556391%,50632.7464380864,70503.8952536825,37890.8841044434,29.0011139992573%,0%,24.6456965088144%,60.2831649583364%,89.1828058573453%,56.1267819229603%
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,81.7959848073793%,82.0021684134442%,94.2362294151051%,20.054457203741%,15.4327081276736%,14.6146146146146%,3.09127248500999%,0.484893696381947%,5.85404971932638%,10.1658374792703%,4.58351696782724%,15.3359445616149%,51526.7993366501,76995.0639048039,34344.746162928,12.371705963939%,11.0924369747899%,23.086269744836%,57.2563433720655%,80.3370786516854%,58.8088088088088%
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,83.5644937586685%,87.8557874762808%,78.0177890724269%,8.26446280991736%,0%,16.0788381742739%,10.1198871650212%,0%,13.9771283354511%,5.31120331950207%,0%,10.4234527687296%,65504.8049792531,101168.596112311,40532.0776255708,0%,0%,0%,48.4404158890962%,57.2524942440522%,45.746887966805%
NEW YORK,,83.5495333730677%,87.7648721706042%,81.1607005804756%,27.4591051658372%,15.7686804912945%,30.5052828217901%,5.61223340765264%,4.61968997137645%,6.46623925116307%,17.0527510090225%,8.58749454069006%,19.1292356185973%,50992.7490536597,73983.7194688091,33821.204732588,25.0355885774604%,16.3330447954988%,26.3327002954576%,31.3529030193265%,40.2608603394402%,27.441595040512%
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,60.377358490566%,54.4797687861272%,100%,17.1007927519819%,21.8208092485549%,0%,0%,0%,0%,31.4583333333333%,40.053050397878%,0%,38381.6666666667,42966.5782493369,#DIV/0!,0%,#DIV/0!,0%,73.9071038251366%,100%,0%
"Jefferson & Lewis Counties PUMA, New York",North Country,37.8457059679767%,100%,0%,22.1357063403782%,31.758530183727%,10.5691056910569%,49.3996569468268%,0%,96.969696969697%,0%,0%,#DIV/0!,119492.307692308,119492.307692308,#DIV/0!,27.6595744680851%,0%,100%,38.8174807197943%,47.6923076923077%,30.8943089430894%
"St. Lawrence County PUMA, New York",North Country,82.8125%,100%,81.9178082191781%,17.1875%,0%,18.0821917808219%,0%,#DIV/0!,0%,0%,0%,0%,36129.2452830189,33000,#DIV/0!,55.4621848739496%,#DIV/0!,55.4621848739496%,69.0104166666667%,100%,67.3972602739726%
NORTH COUNTRY,,56.6988210075027%,67.5592173017508%,46.2600690448792%,19.2059095106187%,24.9084249084249%,11.2595419847328%,16.5232358003442%,0%,37.6470588235294%,14.2722117202268%,23.0182926829268%,0%,57637.3345935728,73008.2317073171,#DIV/0!,23.6947791164659%,0%,32.5966850828729%,58.5005279831046%,83.4146341463415%,37.9770992366412%
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,100%,100%,#DIV/0!,0%,0%,#DIV/0!,0%,0%,#DIV/0!,0%,0%,#DIV/0!,60100,60100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,#DIV/0!
