,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Erie County (South) PUMA, New York",1055,816,239,0,0,0,1055,816,239,606,367,239,0,0,0,606,367,239,449,449,0,0,0,0,449,449,0,0,0,0,0,0,0,0,0,0
"Livingston & Wyoming Counties PUMA, New York",616,316,300,0,0,0,616,316,300,20,20,0,0,0,0,20,20,0,596,296,300,0,0,0,596,296,300,0,0,0,0,0,0,0,0,0
"Ontario & Yates Counties PUMA, New York",1163,427,736,0,0,0,1163,427,736,298,177,121,0,0,0,298,177,121,777,250,527,0,0,0,777,250,527,88,0,88,0,0,0,88,0,88
"Madison & Cortland Counties PUMA, New York",397,230,167,0,0,0,397,230,167,315,191,124,0,0,0,315,191,124,82,39,43,0,0,0,82,39,43,0,0,0,0,0,0,0,0,0
"Fulton & Montgomery Counties PUMA, New York",523,183,340,0,0,0,523,183,340,302,136,166,0,0,0,302,136,166,221,47,174,0,0,0,221,47,174,0,0,0,0,0,0,0,0,0
"Schenectady County--Schenectady City PUMA, New York",3149,2184,965,110,0,110,3039,2184,855,1515,988,527,0,0,0,1515,988,527,960,608,352,110,0,110,850,608,242,674,588,86,0,0,0,674,588,86
"Saratoga County (South & Central) PUMA, New York",2947,931,2016,131,0,131,2816,931,1885,1920,638,1282,131,0,131,1789,638,1151,1027,293,734,0,0,0,1027,293,734,0,0,0,0,0,0,0,0,0
"Saratoga County (Outer) PUMA, New York",867,485,382,279,132,147,588,353,235,382,105,277,130,0,130,252,105,147,485,380,105,149,132,17,336,248,88,0,0,0,0,0,0,0,0,0
"Rensselaer County--Troy City PUMA, New York",2208,1474,734,141,0,141,2067,1474,593,1148,501,647,141,0,141,1007,501,506,697,610,87,0,0,0,697,610,87,363,363,0,0,0,0,363,363,0
"Albany County (East Central)--Albany City PUMA, New York",1288,531,757,0,0,0,1288,531,757,733,412,321,0,0,0,733,412,321,365,50,315,0,0,0,365,50,315,190,69,121,0,0,0,190,69,121
"Albany County (Outside Albany City) PUMA, New York",6224,4082,2142,1068,411,657,5156,3671,1485,4659,3419,1240,655,411,244,4004,3008,996,1439,537,902,413,0,413,1026,537,489,126,126,0,0,0,0,126,126,0
"Columbia & Greene Counties PUMA, New York",750,663,87,0,0,0,750,663,87,386,386,0,0,0,0,386,386,0,364,277,87,0,0,0,364,277,87,0,0,0,0,0,0,0,0,0
