,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",13326,7942,5384,939,652,287,12387,7290,5097,6400,3537,2863,82,82,0,6318,3455,2863,6524,4070,2454,790,570,220,5734,3500,2234,402,335,67,67,0,67,335,335,0
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",15251,8901,6350,692,692,0,14559,8209,6350,6277,3251,3026,174,174,0,6103,3077,3026,7235,4598,2637,518,518,0,6717,4080,2637,1739,1052,687,0,0,0,1739,1052,687
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",15008,8976,6032,504,277,227,14504,8699,5805,5270,2968,2302,39,39,0,5231,2929,2302,7163,4153,3010,465,238,227,6698,3915,2783,2575,1855,720,0,0,0,2575,1855,720
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",11011,5926,5085,1000,265,735,10011,5661,4350,5532,2368,3164,776,186,590,4756,2182,2574,4278,2651,1627,183,79,104,4095,2572,1523,1201,907,294,41,0,41,1160,907,253
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",8612,5762,2850,371,371,0,8241,5391,2850,1554,1019,535,61,61,0,1493,958,535,5321,3400,1921,310,310,0,5011,3090,1921,1737,1343,394,0,0,0,1737,1343,394
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",5373,3647,1726,658,540,118,4715,3107,1608,1709,1069,640,19,19,0,1690,1050,640,3195,2173,1022,568,450,118,2627,1723,904,469,405,64,71,71,0,398,334,64
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",7016,3810,3206,342,133,209,6674,3677,2997,4504,2080,2424,192,55,137,4312,2025,2287,2207,1730,477,150,78,72,2057,1652,405,305,0,305,0,0,0,305,0,305
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",6594,3432,3162,314,0,314,6280,3432,2848,5379,2605,2774,314,0,314,5065,2605,2460,1058,670,388,0,0,0,1058,670,388,157,157,0,0,0,0,157,157,0
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",5727,2357,3370,281,156,125,5446,2201,3245,1940,682,1258,56,0,56,1884,682,1202,2957,1380,1577,225,156,69,2732,1224,1508,830,295,535,0,0,0,830,295,535
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",4108,2181,1927,117,117,0,3991,2064,1927,824,452,372,0,0,0,824,452,372,1608,730,878,29,29,0,1579,701,878,1676,999,677,88,88,0,1588,911,677
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",11746,6129,5617,52,0,52,11694,6129,5565,2086,646,1440,52,0,52,2034,646,1388,7129,3417,3712,0,0,0,7129,3417,3712,2531,2066,465,0,0,0,2531,2066,465
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",19637,9433,10204,1351,947,404,18286,8486,9800,7277,2732,4545,224,53,171,7053,2679,4374,10160,5449,4711,922,689,233,9238,4760,4478,2200,1252,948,205,205,0,1995,1047,948
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",9148,3921,5227,513,163,350,8635,3758,4877,1958,385,1573,69,0,69,1889,385,1504,5792,2904,2888,444,163,281,5348,2741,2607,1398,632,766,0,0,0,1398,632,766
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",6854,3198,3656,881,618,263,5973,2580,3393,2136,602,1534,117,117,0,2019,485,1534,3573,1628,1945,764,501,263,2809,1127,1682,1145,968,177,0,0,0,1145,968,177
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",18828,11451,7377,1188,388,800,17640,11063,6577,6981,4231,2750,548,216,332,6433,4015,2418,8078,4862,3216,488,172,316,7590,4690,2900,3769,2358,1411,152,0,152,3617,2358,1259
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",17405,10102,7303,731,497,234,16674,9605,7069,9210,4917,4293,396,275,121,8814,4642,4172,6584,3762,2822,335,222,113,6249,3540,2709,1611,1423,188,0,0,0,1611,1423,188
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",11400,7323,4077,284,220,64,11116,7103,4013,4022,2943,1079,43,43,0,3979,2900,1079,5570,2963,2607,241,177,64,5329,2786,2543,1808,1417,391,0,0,0,1808,1417,391
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",21063,11655,9408,1565,1095,470,19498,10560,8938,8025,3290,4735,863,393,470,7162,2897,4265,9790,6224,3566,702,702,0,9088,5522,3566,3248,2141,1107,0,0,0,3248,2141,1107
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",23935,12176,11759,1319,455,864,22616,11721,10895,13297,6314,6983,438,63,375,12859,6251,6608,8749,4603,4146,598,218,380,8151,4385,3766,1889,1259,630,283,174,109,1606,1085,521
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",30810,15653,15157,1655,901,754,29155,14752,14403,16506,8054,8452,625,588,37,15881,7466,8415,11406,5435,5971,794,231,563,10612,5204,5408,2898,2164,734,236,82,154,2662,2082,580
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",14143,7584,6559,701,370,331,13442,7214,6228,6862,3241,3621,370,370,0,6492,2871,3621,5657,2999,2658,233,0,233,5424,2999,2425,1624,1344,280,98,0,98,1526,1344,182
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",33193,18820,14373,2461,1262,1199,30732,17558,13174,15500,7711,7789,1590,863,727,13910,6848,7062,14031,8703,5328,468,157,311,13563,8546,5017,3662,2406,1256,403,242,161,3259,2164,1095
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",34477,21471,13006,2378,1070,1308,32099,20401,11698,8699,5146,3553,425,102,323,8274,5044,3230,17633,10232,7401,1953,968,985,15680,9264,6416,8145,6093,2052,0,0,0,8145,6093,2052
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36596,20231,16365,991,233,758,35605,19998,15607,13737,7576,6161,398,179,219,13339,7397,5942,19983,11083,8900,593,54,539,19390,11029,8361,2876,1572,1304,0,0,0,2876,1572,1304
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",18735,9489,9246,466,284,182,18269,9205,9064,9924,4746,5178,0,0,0,9924,4746,5178,7431,3836,3595,466,284,182,6965,3552,3413,1380,907,473,0,0,0,1380,907,473
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",22178,13268,8910,793,553,240,21385,12715,8670,7629,4258,3371,207,157,50,7422,4101,3321,12659,7684,4975,586,396,190,12073,7288,4785,1890,1326,564,0,0,0,1890,1326,564
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",26876,13760,13116,2026,1435,591,24850,12325,12525,11831,6175,5656,815,318,497,11016,5857,5159,13245,6388,6857,1033,939,94,12212,5449,6763,1800,1197,603,178,178,0,1622,1019,603
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36894,24316,12578,1571,832,739,35323,23484,11839,13846,9596,4250,627,209,418,13219,9387,3832,18776,11617,7159,841,623,218,17935,10994,6941,4272,3103,1169,103,0,103,4169,3103,1066
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",21613,10702,10911,1261,560,701,20352,10142,10210,12539,5812,6727,1021,320,701,11518,5492,6026,8037,4277,3760,240,240,0,7797,4037,3760,1037,613,424,0,0,0,1037,613,424
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",29944,18794,11150,1377,884,493,28567,17910,10657,13615,8153,5462,689,439,250,12926,7714,5212,12681,8033,4648,688,445,243,11993,7588,4405,3648,2608,1040,0,0,0,3648,2608,1040
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",25375,13625,11750,1108,485,623,24267,13140,11127,8211,3286,4925,439,125,314,7772,3161,4611,14850,8909,5941,614,360,254,14236,8549,5687,2314,1430,884,55,0,55,2259,1430,829
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",26929,15073,11856,2090,1073,1017,24839,14000,10839,7985,4206,3779,703,319,384,7282,3887,3395,15757,8547,7210,1060,514,546,14697,8033,6664,3187,2320,867,327,240,87,2860,2080,780
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",16530,9914,6616,1365,777,588,15165,9137,6028,5741,3420,2321,98,42,56,5643,3378,2265,8104,4954,3150,1128,735,393,6976,4219,2757,2685,1540,1145,139,0,139,2546,1540,1006
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",11138,6369,4769,1001,607,394,10137,5762,4375,4646,2734,1912,251,119,132,4395,2615,1780,5559,2790,2769,663,401,262,4896,2389,2507,933,845,88,87,87,0,846,758,88
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",4915,2866,2049,312,233,79,4603,2633,1970,2388,1198,1190,233,233,0,2155,965,1190,1773,1170,603,0,0,0,1773,1170,603,754,498,256,79,0,79,675,498,177
