,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,11.8259224219489%,11.1480865224626%,13.2199670872189%,78.6423310918988%,100%,67.2077922077922%,22.0239550232217%,10.1746393318147%,19.6707105719237%,,,,,47009.5912052117,59174.6254681648,36606.4863123994
"Madison & Cortland Counties PUMA, New York",Central NY,10.0897554936552%,0%,5.49882168106834%,82.7917053543795%,100%,78.1618224666143%,39.0167661267406%,14.7208121827411%,40.8609738884968%,,,,,29322.1028037383,62187.8172588832,27164.4547738693
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,13.8979963570128%,3.94503546099291%,12.5371865703357%,75.0899511693652%,79.5212765957447%,75.9312570880223%,46.5085691510562%,18.1781045751634%,41.6546221888189%,,,,,31371.1628304954,43742.7424749164,29831.3074448529
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,0%,0%,0%,96.1526078557631%,92.2784121805329%,97.6558724021266%,5.7489998518299%,6.6497461928934%,5.84356525693497%,,,,,48149.8694123556,57567.707719505,45948.2232120762
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,15.8566570755951%,0%,16.2903731577297%,80.7433357052931%,91.6039374638101%,81.5940366972477%,46.0041194644696%,8.44566712517194%,44.2797768784863%,,,,,30681.567351366,39737.0227560051,29528.9418733059
"Monroe County (East) PUMA, New York",Finger Lakes,21.4105793450882%,3.21931589537223%,14.8514851485149%,59.2360319270239%,45.5611390284757%,85.1485148514852%,42.9030776297657%,54.4388609715243%,20.4570184983678%,,,,,46412.7526467758,89409.0073529412,31987.7906976744
"Monroe County (North & West) PUMA, New York",Finger Lakes,3.42637472839713%,0%,2.28361996053003%,70.4832954914045%,77.1327612317012%,63.604898828541%,31.9372423879803%,4.9469964664311%,36.3543371522095%,,,,,43263.9208467556,57567.7356020942,37097.4884889075
"Monroe County (South) PUMA, New York",Finger Lakes,0%,0%,0%,82.3068893528184%,100%,77.372764786795%,39.519906323185%,11.8134715025907%,46.3609898107715%,,,,,39766.4552948637,70836.7256637168,27283.1111111111
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,0%,0%,0%,94.1125353030632%,89.7531439217513%,97.9234527687296%,1.66266025641026%,0%,1.93401592718999%,,,,,68433.1371191136,83488.868707836,56369.7713097713
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,6.04150820384657%,4.09031413612565%,5.86547085201794%,81.1114547891535%,93.8021122846026%,74.4619280159161%,7.39038189533239%,1.99775533108866%,9.12516382699869%,,,,,64608.6157366213,86530.0740740741,48591.8387175128
