,,Unemployment %,,,,Full Time Work Access,,,,Poverty,,,,Working Poor,,,,Income,,,
Total GEOG-101,Overall,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC
"Erie County (Northwest) PUMA, New York",Western NY,6.06137458787725%,5.3055250640322%,6.56415913948838%,0%,85.2893683742482%,92.8096545743605%,81.4869993969707%,89.7435897435897%,13.5646338765578%,5.81154543101217%,16.0582349573325%,26.9758637008992%,5.9239950610509%,3.26247761426458%,7.44384468048059%,4.76190476190476%,54920.1,70592.4,46070.8,58105.6
"Erie County (South) PUMA, New York",Western NY,3.54190003733931%,1.0791964137473%,4.81292614450238%,14.8580121703854%,78.4505375790936%,82.2582399651909%,77.5001366941878%,54.5619609623241%,32.1195144724556%,10.0871668262206%,39.448491551928%,78.0044926993635%,12.4638823220383%,1.52519893899204%,19.2041766614929%,70.216306156406%,52937,69128.7,37775.8,27987.8
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,5.34534440276841%,1.66923912422112%,5.59816292861283%,43.9504373177843%,85.0238268059457%,89.1724060065485%,84.2956329013728%,56.4102564102564%,15.3508771929825%,2.75571664623421%,16.6483862267374%,67.557251908397%,4.64524989328731%,0.563433780703976%,5.54020336436563%,42.8746928746929%,53275.2,68936.6,46984.4,37413.5
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,6.61982411949269%,4.08851706922143%,7.58390902977319%,4.13013832067017%,76.1072796934866%,88.1328690061613%,75.4525816168193%,63.3283414451516%,36.3840091445073%,10.3978494623656%,37.9974678202152%,53.2455603184323%,14.128086197459%,6.06382978723404%,16.5853461833138%,11.7647058823529%,41025.9,60119.1,37775.9,27713.2
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,5.10014227864726%,2.82252605929335%,5.62186472928559%,14.3569292123629%,83.1821593223973%,86.5941545442413%,81.9655009770231%,75.5465175394001%,18.4145877305284%,6.46482635796972%,21.2121212121212%,40.2369460289601%,6.72197239882152%,2.6123140941666%,7.73389459782923%,26.1103633916554%,50178.3,70346.3,40696.6,29291.2
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,2.0848971338409%,0.282066508313539%,4.55159981973862%,29.9559471365639%,85.4353953419374%,87.1279584742131%,83.1489837479535%,47.9674796747968%,8.60894133289015%,3.6761009725713%,11.8088403196868%,79.0723357261182%,3.15758324775018%,2.22452995190206%,4.8236939848536%,0%,84823.7,104278,51018.5,39932.2
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,6.80136822846233%,3.32231023609936%,7.51712328767123%,15.7965194109772%,77.1971077538064%,82.6383565843937%,75.8213062278879%,67.9308891698272%,18.4528716680407%,6.60338137472284%,18.6707109172626%,45.7563950533627%,8.01757415684681%,4.62851312494203%,9.13167549938851%,12.0347394540943%,54407.7,89347.1,41887.5,30463.6
"Jefferson & Lewis Counties PUMA, New York",North Country,5.35523374477597%,5.19409083765519%,4.92846977754475%,13.1365740740741%,81.0294329476161%,82.0163909076851%,81.0915453631659%,73.2651963421194%,22.1735104593813%,9.86968596453749%,24.3047878220937%,49.2914698527369%,9.55740669374203%,4.74170437405732%,10.407572485411%,33.4801762114537%,52059.5,77416.9,41445.2,24312.3
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,4.57578376234257%,1.88119503001536%,6.44573118147099%,5.54733727810651%,82.5308565701498%,82.7629954738719%,83.2623539768266%,59.6833130328867%,10.7061846125359%,3.81737235957185%,12.9017951832784%,46.9749652294854%,3.95228561895229%,1.73178108298463%,4.84449932515866%,26.9387755102041%,65200.7,86990.5,50972.6,36613.7
"Madison & Cortland Counties PUMA, New York",Central NY,5.69439623587489%,2.9614630133519%,6.29193052855978%,11.4986769304787%,82.7097326362402%,83.111660995979%,81.4259197273529%,90.2733630006357%,18.327462092204%,6.01397843636561%,19.7225271983232%,43.6880272310197%,11.6794889098844%,3.0591737997767%,11.738106805187%,38.4976525821596%,55548.3,87096.2,43405.6,32327.2
