,,Unemployment %,,,,Full Time Work Access,,,,Poverty,,,,Working Poor,,,,Income,,,
Total GEOG-101,Overall,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,10.0336774288015%,10.1268183513614%,8.99849592863441%,17.3084112149533%,85.8091254461031%,91.9591207096028%,84.4538729329852%,83.0052229811169%,39.1817502208731%,10.3291369634461%,39.5846299996724%,64.5165883525559%,16.1844282456062%,5.89222059131894%,16.7525441195414%,35.6727976766699%,42118.7,56326.9,39010,32683.2
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,11.113270337892%,2.11121927476272%,15.6180825421811%,23.9209450249886%,79.8202164740415%,85.6718192627824%,75.8116522125862%,71.9617796357121%,35.9143265111852%,12.0875566098771%,39.5351585582037%,76.6527001862197%,15.2148931280165%,4.50381679389313%,22.0136393634964%,40.7883817427386%,49368.7,61432.7,40429.8,27816.4
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,13.9035220784952%,10.1409702819406%,14.3858579701311%,26.4132553606238%,84.0568131380382%,89.871518946064%,79.5919764496474%,77.8469520103761%,25.2765351316463%,12.4603127059246%,25.5493300852619%,52.2883443536886%,9.73703664589714%,5.08708272859216%,11.543093067263%,24.0919693435521%,45970.9,58724.3,34341,32464.6
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,3.85031513507015%,2.8045375657117%,6.1955930359086%,5.73248407643312%,87.5605788166795%,91.1181582101478%,85.9584520252901%,57.3596358118361%,19.3376475066616%,5.79313654907607%,35.6406406406406%,55.216476247745%,8.96911853865561%,2.5595352278644%,24.3129647591335%,28.3950617283951%,70885.9,79339.3,47774.1,60950.2
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,7.74576583210604%,8.20689655172414%,6.32536346723627%,14.2408376963351%,80.9113708418114%,92.4576467857971%,75.9195923780275%,89.6275530636764%,51.1057255377158%,19.9107316126528%,47.0199562480468%,79.9063820070784%,19.83741739283%,11.0190763052209%,15.9694768778156%,54.3342269883825%,36602,44779,35477.2,27512.6
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,6.28854689031068%,4.67263498864999%,9.07055873925501%,25.5980861244019%,85.2187577854008%,87.7261080244564%,79.9045138888889%,54.983922829582%,16.3885437473459%,6.82237388176704%,34.2335939350865%,50.5563909774436%,2.81775658900783%,2.11110789785708%,4.63878326996198%,14.0350877192982%,104345.4,115048.4,68226.4,49344.4
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,6.18926238649036%,1.64179104477612%,12.3099850968703%,24.0924092409241%,85.3526585651419%,88.1995458795245%,81.2545739675902%,70.4347826086957%,20.0835495917463%,9.85348676350374%,30.2649643053267%,32.8305235137533%,8.95416489286221%,6.9205724237147%,12.596500257334%,0%,55068.6,65451,38036.2,25777.8
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,6.42903797704582%,3.83756848774548%,13.2115749525617%,78.428927680798%,85.7142857142857%,86.3472868901295%,81.2442817932296%,100%,10.3258856931243%,3.88768020170391%,25.8613984599829%,52.5270758122744%,3.12035336307181%,1.68924099156657%,12.3230373230373%,0%,119853.1,128683.2,69314.2,38575.1
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,12.0353907374481%,6.80266075388027%,15.9445843828715%,40.5034324942792%,90.0127646463313%,90.3147042864894%,90.3883495145631%,67.0694864048338%,23.8675958188153%,13.9739789196311%,29.7850162866449%,48.1757877280265%,10.718826405868%,7.43967157304496%,12.8698369299873%,59.009009009009%,51363.1,63431.7,40560.6,6763.1
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,6.29175718326024%,3.63332453593736%,13.7663433150569%,7.01198026779422%,88.7933143090094%,94.4759206798867%,77.7281746031746%,69.7009102730819%,21.5076702602352%,6.79131295245039%,33.2214127336079%,74.1792492034908%,5.31466913465988%,0.962018990504748%,14.263820470717%,33.1561140647656%,79521.8,95180.8,39055.4,23144.5
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,6.38375165125495%,3.0055487053021%,7.34185512946575%,40.6494287432351%,74.440044147244%,71.7676514772158%,80.7776083641908%,71.5235792019347%,24.639177919496%,17.9326173566603%,27.5563818608035%,60.9853121175031%,8.91330891330891%,6.0703321239185%,7.98166374544964%,49.1969568892646%,89731.4,114412,52847,21979.5
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,12.0285845007517%,4.69899040259255%,16.8601876888818%,40.7544627820815%,88.9103598790552%,94.1526389064675%,83.6162940550233%,76.69265490357%,31.8732448196215%,10.0304742084139%,46.7030837004405%,65.9722222222222%,13.4521465647294%,3.2620871981001%,24.8877571533874%,43.8202247191011%,72623.4,102138.2,34887.5,21500.3
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,10.1313770617568%,2.62249827467219%,10.4080103535182%,15.5324992371071%,72.0467728570113%,87.1078938297139%,71.4628937533369%,62.9397967161845%,56.6771633707016%,31.7653009610521%,53.542819550327%,74.8080808080808%,16.081735553639%,12.5840918084685%,14.1100758812794%,29.8360655737705%,38656.6,50122.7,37827.7,30334.3
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,3.5606566998712%,3.43626051821922%,4.54733360892931%,0%,89.1067052795723%,91.0599601119792%,78.772019402604%,17.2701949860724%,8.77812663526949%,7.73763771457853%,12.9104239719477%,35%,0.842857142857143%,0.68318363574256%,2.13903743315508%,0%,148031.3,154769.7,94864.6,31000
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,4.87870619946092%,2.65283509707257%,15.4440482255052%,100%,81.8057437368827%,83.6732784431138%,70.6769650159019%,100%,9.28712940113309%,4.46168905786719%,29.5321256353447%,70.9205020920502%,1.04083786636356%,0.342912520034291%,3.95988686037542%,100%,157870.4,167502.4,94293.4,8000
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,2.82806804374241%,1.76756517896597%,8.37356108429261%,0%,86.20376030655%,88.5457809694794%,75.2129471890971%,68.3686176836862%,8.80065550093048%,3.91437415226237%,21.1025114515874%,76.9314472252448%,1.71924726719247%,1.15774533657745%,0%,77.0491803278689%,130645.8,140399.5,78375.7,11044.3
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,1.89437155352729%,1.85612718734423%,2.4343805249558%,0%,88.6884303628195%,89.7323222503079%,84.5634026765602%,0%,8.13412946013512%,6.83168201286046%,16.7527028343236%,35.4609929078014%,2.51699600560802%,1.90107477175546%,9.19774365402695%,#DIV/0!,158076.3,161709.3,118669.9,NA
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,12.3273676643081%,7.73056057866185%,11.5741717661954%,30.8507746670291%,76.1685116851168%,83.8982387475538%,66.0263872720217%,78.145243777702%,44.462658502483%,16.3160733549083%,49.4185716716774%,81.0553153752356%,17.9707346814348%,8.77739984882842%,20.2762268586541%,53.5776614310646%,57264.5,76974.6,37689.3,23222.1
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,9.31663529752425%,6.50310872122332%,14.537680384821%,5.1310861423221%,81.2035288210964%,83.5665878012592%,75.7811395447476%,87.6822157434402%,26.7195311153249%,19.8897096367907%,26.9407391209272%,70.0220264317181%,12.8184713375796%,8.35658616376407%,14.5988805970149%,43.4330839567747%,60187.7,73238,43679.3,20709.4
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,7.30404217926186%,0%,9.89994734070564%,10.4744525547445%,76.9068803912246%,84.916067146283%,68.6427656850192%,88.2610280714546%,42.9952139770457%,22.8668299114711%,43.7413314840499%,64.0076988879384%,24.6489446259825%,3.27591075967241%,26.6554747248648%,51.4663362247005%,40271.6,55922.6,36808.6,25048.7
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,10.5993948108247%,7.89223454833597%,11.9184903682348%,8.832898928468%,84.641487814552%,92.6819330127944%,82.238303601481%,76.6245221993531%,15.8928540083203%,3.51579884290165%,16.0477239748482%,41.575003985334%,5.15724252837655%,1.41563351798118%,7.14198010886915%,2.87797390636992%,47199.1,62195,42271.9,27950
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,4.90241320339857%,4.47742182026623%,5.11661358265694%,6.39952153110048%,84.3231441048035%,87.6662636033857%,83.991045397751%,57.4752763234439%,12.4097030232766%,6.66630797374368%,15.5386081982841%,27.0219728845255%,8.09166235111341%,2.14882032667877%,10.6117894997831%,49.7975708502024%,64844.3,72917.6,60813.2,18108.9
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,3.41707121647735%,0.65402223675605%,4.30350129522854%,9.96884735202492%,83.5946813388354%,86.2937062937063%,81.0142834216017%,90.9642616318274%,15.7009753967099%,4.87027765134274%,16.7268430381409%,38.726483357453%,5.96752961825362%,0%,10.0039619651347%,5.78206078576724%,60118.9,75503.6,52812.2,37400.2
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,6.03573153066152%,4.29227390696746%,7.19774590163934%,74.4565217391304%,82.3864701691229%,85.4268008262811%,78.6912171507607%,51.0869565217391%,11.3427551051555%,4.02569101961234%,19.7501329080276%,15.2727272727273%,4.77924442421484%,2.69110764430577%,7.74469954959903%,0%,74433,88324,55151.9,19800
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,8.03369728915663%,4.02940375714675%,11.1463453305851%,0.388198757763975%,81.7185322805388%,90.1516186313345%,78.0906699675074%,70.1480904130943%,11.9361205813745%,4.21487603305785%,11.13213304852%,38.0398671096346%,4.46174832329203%,1.5%,2.39746383990489%,49.3333333333333%,54150,71001.2,44611,37559.1
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,5.41202569672321%,4.02957736924225%,8.91670530057178%,0%,84.6654577579393%,86.6386326641346%,79.0470179867466%,100%,15.6931054038726%,7.98154268254661%,26.4571718195641%,66.8428005284016%,6.34850897907628%,3.15484578049162%,9.44111776447106%,65.8823529411765%,91544.3,100997.3,73149.8,24258.8
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,7.6469895133734%,4.19399069989269%,13.3810999225407%,21.9978746014878%,82.98343605547%,85.0973112509789%,79.2530296006887%,75.9180187873612%,16.0894409937888%,8.39566819247516%,22.5454723254449%,51.1599511599512%,5.38470465359174%,2.81195678107638%,11.0377673796791%,9.78627671541057%,62052.7,70246,47707,23415.5
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,8.09048700977971%,3.90733590733591%,10.7731682637938%,22.8155339805825%,89.092943654555%,87.0438921205711%,91.377407089415%,77.05112960761%,16.4264046602776%,2.13048383885312%,26.1492014024153%,25.9708737864078%,7.18434390144649%,0.876583926401666%,12.3881300047103%,0%,59284.9,79352.5,45354.2,22784.9
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,3.14761215629522%,3.46123930515945%,3.06574735286875%,0%,90.1551569156212%,90.9958720330237%,89.2823966558291%,86.4038069340585%,11.7786483194522%,9.91915601169658%,12.0970630372493%,28.1108597285068%,5.86960291312641%,3.01247519138078%,12.0821953439979%,0%,67394.8,82236.8,46001.7,32069.2
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,4.87943801025252%,1.63899978987182%,3.83944153577661%,38.5113268608414%,86.6238532110092%,98.0132450331126%,79.4261848556383%,67.4157303370787%,27.4817835416806%,7.10633946830266%,35.9507313317937%,68.7740940632228%,6.28044905740309%,0%,7.49885688157293%,55.2083333333333%,50871.3,64757.9,37593.9,39129.2
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,5.8019811643%,2.11108602393317%,6.71506352087114%,19.5690157251019%,83.1902020103445%,80.120611673487%,87.9719141141753%,69.8044895003621%,17.6821385378873%,8.93021354858486%,19.8864585072633%,44.4444444444444%,4.91524429585313%,2.1505376344086%,7.84268363215732%,0%,50305,64402.8,39824.7,35485.9
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,7.81508892079973%,8.06367626273897%,6.06228886112268%,37.5862068965517%,85.4810756415274%,88.716458986316%,85.8989314544352%,44.8494453248811%,14.7557306435204%,7.37981929788261%,14.8949668687438%,45.703125%,4.85938521909745%,4.31710469625162%,3.84051279265577%,49.1166077738516%,59270.4,70959.6,53089.5,20633.2
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,4.4212175228218%,2.04081632653061%,6.5122164898277%,0.39647577092511%,89.0069762371921%,92.6343033016229%,87.8294418278385%,77.3955773955774%,12.3546315836738%,9.84472444953545%,10.29052734375%,33.5606773283161%,6.04065886963444%,7.86075662614211%,4.07895487477894%,11.4814814814815%,64965.1,85990.9,52301.6,35089
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,4.4854795938167%,3.86889236654495%,5.00420757363254%,3.13479623824451%,79.5854003088143%,85.606128084083%,74.547312255208%,92.8526645768025%,13.8534879264086%,4.93522516964837%,15.7104620039567%,36.4698031364698%,2.92106898694842%,3.4231609613984%,2.49942497891589%,3.37609723160027%,69914.8,82024.4,64740.8,37210.5
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,4.35871743486974%,1.50364892001763%,6.60140650952398%,0%,85.9984249742544%,90.4154274201286%,82.3833254519661%,92.1585160202361%,10.3882461494783%,3.51118760757315%,11.2895377128954%,55%,2.4536852238841%,0.769312393887946%,2.44171670787708%,31.747483989021%,75552.7,89189,65426.8,50222.5
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,3.68123346409999%,2.93302501147705%,9.53972353030533%,18.3783783783784%,89.7345527548517%,91.411768625883%,76.3549645902587%,62.9139072847682%,7.62806681051706%,3.77801461161824%,30.2259578648619%,43.6115843270869%,1.00008320159747%,0.812859287466588%,2.97179632784403%,0%,170015.2,175760.2,113764,75000
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,6.410143717312%,1.06489853325296%,6.50601677403671%,25.3403933434191%,83.2357247437775%,85.8892699657031%,82.7368544669857%,78.6042240587695%,22.7577660277594%,8.0937167199148%,23.7207403375068%,46.5336948102246%,9.152051321848%,3.17170564746149%,10.7270856250665%,13.8434579439252%,48702.5,67221.4,43833.4,34040.4
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,4.77841181803637%,4.42930824048191%,5.19372632418422%,0%,83.7606535970779%,88.5530091591651%,79.9749851885985%,75.6470588235294%,9.75522654564393%,4.46608818841863%,13.1091893639376%,23.1766612641815%,3.77306817224235%,1.27402672348737%,6.1898098608939%,0%,60560.1,74217.5,48500.5,37801.9
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,7.26316016475815%,1.92374350086655%,9.23602111451781%,7.01314965560426%,81.8423587552875%,85.4654554546212%,82.2710895763449%,65.7488058443383%,20.2105604146421%,7.91248206599713%,20.1401555150235%,48.6464448793216%,6.88593565601108%,0.273037542662116%,8.22878368646477%,20.7264957264957%,48622.8,67809.2,41773.5,42071.1
"Onondaga County (North) PUMA, New York",Central NY,7.19739441507822%,3.13034553540883%,7.95104261106074%,15.5423637344846%,70.698608137045%,81.6164817749604%,65.9256906954589%,62.9807692307692%,41.7442656941333%,15.8340902210112%,45.4486143904561%,67.6337472438204%,13.2128590450827%,3.29294812053433%,17.8364987613543%,26.8606870229008%,44691.6,58409.8,37366.3,31436.9
"Ontario & Yates Counties PUMA, New York",Finger Lakes,3.73001776198934%,0.501835985312118%,5.001672178663%,1.2800499531689%,85.232410464821%,86.7720465890183%,86.755497305956%,69.5240825688073%,17.9508546574257%,2.45936698032506%,15.1131039636688%,66.1130881771451%,9.56172913423542%,1.15052732502397%,6.80800743306022%,61.7731958762887%,46512.7,66401,43009.8,21057.3
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,7.80908789154627%,1.40347740580164%,9.65462358745822%,32.5224442513756%,81.9656841179059%,87.7367983549897%,80.1277343126298%,53.9389370523935%,17.4931833674165%,6.3389896625707%,19.6381053751996%,55.3175497933108%,6.59397828018989%,2.5231873940361%,9.12655106907562%,20.7772795216741%,66518.5,87993,50849.1,40333
"Orange County (Northwest) PUMA, New York",Mid-Hudson,3.90126809397958%,1.33268324394604%,3.31011730205279%,32.7097163548582%,82.4576493919193%,83.9107736117703%,82.6369138773427%,69.4117647058824%,14.0635551142006%,3.24398526118055%,15.2569240892505%,49.7886178861789%,7.08608693120615%,1.12702960840497%,8.12720848056537%,38.4180790960452%,64906.4,89155.1,56316.3,14426
"Orange County (Southeast) PUMA, New York",Mid-Hudson,4.49204773666351%,5.25687868167922%,4.35744382022472%,0%,82.0767494356659%,87.6549783220507%,80.0514668039115%,74.9501992031873%,18.2130818209677%,9.3030649879181%,17.0498971193416%,63.0687318489835%,7.6328448683369%,6.10033210977102%,6.39882240886657%,39.9859451862263%,62746.4,85345.1,53700.9,29930.8
"Oswego County PUMA, New York",Central NY,8.66780289551065%,1.36824722811984%,10.2738437558786%,18.2106782106782%,84.178590156566%,87.5066983081987%,83.4477559701693%,79.0595611285266%,22.0624756889381%,6.86835106382979%,24.3639732017837%,44.6757108344174%,10.7362735449614%,1.51967435549525%,12.7374153274007%,27.2402854877082%,50292.6,79800.4,40983.9,30950.1
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,4.77273180558049%,4.5463003163183%,3.95193260654113%,22.2222222222222%,79.8224326723883%,88.2586570683877%,76.2462808913717%,68.7078995713411%,22.6126617571294%,8.85291446278784%,22.9914348410844%,71.9362745098039%,8.34121335788583%,4.54928983265364%,9.22228484019%,36.8983957219251%,53423.1,75689.3,41487.6,38340.1
"Putnam County PUMA, New York",Mid-Hudson,4.68589564081023%,3.56075994742502%,5.5977144897777%,4.25646551724138%,71.66558831685%,75.9222851856135%,70.7139649753031%,57.5431034482759%,27.3033790222092%,3.86333184457347%,36.7457671438844%,48.8954830201121%,9.45379506029535%,0.517897943640518%,14.0970281940564%,30.1498127340824%,65751.1,88981.4,49342.1,43932.3
"Rensselaer County--Troy City PUMA, New York",Capital Region,5.04691646987524%,1.70247263883259%,5.41923358045317%,30.4700162074554%,83.4620401233929%,87.3566497404005%,81.4217749940103%,77.9062299293513%,13.3609314359638%,4.42110655737705%,15.3755868544601%,42.9179676412149%,4.93571339408314%,2.33165697864281%,6.45106455314266%,8.40890354492993%,60213.8,79652,46037,92887.1
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,5.1120630487776%,6.48506884425106%,3.20067739204064%,17.0258620689655%,82.0594454608092%,87.3538276069922%,78.3921502568854%,81.6314888762122%,14.2214558812505%,4.91251005631537%,15.7225277505989%,50.9532515016976%,6.31117307077924%,0.945349158156224%,8.13161875945537%,37.1069182389937%,77352.3,99898.2,62318.8,44588.7
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,4.16314954249249%,2.88741721854305%,5.96512237108001%,0%,79.0743004393934%,82.957213670754%,77.8284537295866%,47.3566641846612%,10.0047628386518%,3.89922702547953%,11.2941607175545%,56.4980967917346%,4.78796741174013%,3.23138611526063%,4.67863894139887%,37.7358490566038%,85545.7,101051.5,70360.9,28056.9
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,4.74834078673769%,0.927724888284438%,9.17748252822364%,18.758344459279%,80.489766487326%,82.4987354577643%,81.4953413777303%,33.771569433032%,9.83519893350495%,5.50105399708124%,10.9705438066465%,39.9525584547611%,2.10178134582917%,0%,3.31740230531347%,62.2871046228711%,101706.9,110880,89102.2,28543.8
"Saratoga County (Outer) PUMA, New York",Capital Region,2.77308439638422%,1.48008187686978%,4.41626997219211%,0%,84.5971760797342%,87.4675551078914%,80.6521739130435%,100%,9.1426437374402%,6.15880982254884%,10.3571561580574%,43.2323232323232%,3.02636100338717%,2.53786872176455%,3.78505476859552%,0%,70020.8,79507.3,59408,29951.3
"Saratoga County (South & Central) PUMA, New York",Capital Region,5.82916401346311%,3.72793670115642%,6.33554479708326%,19.5299384443201%,85.5461795912554%,90.6123481781376%,82.8706916493176%,81.4004376367615%,18.6329588014981%,6.27524210709167%,21.972701281933%,45.7242582897033%,6.53455856306391%,2.43507400167551%,7.44807329183859%,38.3064516129032%,54850.8,75037.1,43496.4,30645.4
"Schenectady County--Schenectady City PUMA, New York",Capital Region,8.33160245092948%,3.91228507351109%,7.34190384186669%,25.6991051454139%,81.9436128394033%,87.1542205864894%,80.1147935567488%,83.785594639866%,24.3337437257316%,7.51767400179229%,24.8619085194961%,49.2417930344943%,9.46996241319997%,3.70521727285111%,10.2449888641425%,19.7121151539384%,42415.3,57325,38231.6,34842.7
"St. Lawrence County PUMA, New York",North Country,5.83653701275099%,3.37714602107099%,7.09386078111041%,15.840679097571%,82.8259476762484%,86.1040327382934%,80.7755770870589%,73.0976234855545%,17.4684392772018%,6.48216212993457%,20.8399457415408%,53.5117419721725%,6.15618307448332%,2.25391964874852%,8.20310253159175%,27.0911026811272%,73103.3,100195.3,50655.5,34461.9
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,1.95111257261866%,1.13047173820654%,2.34151673112494%,2.34291799787007%,84.8159225048302%,92.6632669847014%,81.3064345562515%,76.0346487006737%,18.1962124210921%,7.14444197914356%,21.2114732565599%,47.3291211947157%,6.93849473124668%,5.89383987218179%,6.85570890840652%,23.9240506329114%,56942.9,78615.9,45243,43919.7
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,4.95944031932701%,5.61078931442898%,4.54207442220173%,9.56090651558074%,84.7131475782996%,85.7250439293783%,84.6945127916284%,78.2065834279228%,14.9195661494974%,8.79527503024265%,12.802362541987%,54.3978942750603%,6.68300122509188%,3.86530014641288%,5.61781913018961%,49.5645863570392%,64672.1,94626.5,55592.6,30217
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,6.69886735145852%,4.61088070261039%,7.34449595239743%,14.0825035561878%,82.7268285429015%,87.8026299619024%,79.7514493005173%,84.2871485943775%,6.9170579029734%,4.60390538180664%,7.93655241991985%,9.419795221843%,2.13651070823276%,0%,3.62148515713415%,0%,67556.3,83475,58643.3,54040.3
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,5.4638486063972%,7.77799619946268%,3.76141151685393%,9.56316410861865%,82.987466080889%,83.3189340067788%,83.0521807534307%,74.5430809399478%,7.90598745081357%,4.74534307946239%,8.00593031875463%,37.3983739837398%,1.93385650224215%,0%,2.87307935171543%,13.1348511383538%,72450.3,81925.6,66801.7,52406.3
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,5.61018502464518%,4.32228039557883%,6.51500439265733%,7.26221079691517%,84.8312611012434%,89.7361226673006%,80.9476427386875%,84.4489519945909%,5.18744637976098%,3.03665967435821%,6.07218077321244%,13.9501438159156%,0.921273031825796%,1.56964037353467%,0.415593537813159%,0%,77640.7,92129.6,67136,46172.1
"Suffolk County (East) PUMA, New York",Long Island,2.88103319811243%,1.89444474091467%,4.03159742539497%,0%,80.3530210454854%,77.7027734170592%,82.8162015369504%,100%,10.2366266199575%,7.10198733347893%,12.6092384519351%,25.6218905472637%,2.32848935451166%,0%,4.80708853694272%,0%,94954.9,123219.3,67598.9,27299
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,4.75116971501489%,5.45002261420172%,3.9475002504759%,0%,81.7195890237199%,84.9092356084435%,78.6159203492079%,42.0152091254753%,5.07100495130312%,5.56754988550867%,3.56929127126614%,22.080136402387%,1.5728883714914%,2.23164472216023%,0.673778775968557%,0%,101507.8,116341,80631.5,111859.7
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,3.49229225107445%,0.425821836143757%,7.10782667114545%,40.7786885245902%,86.7952985229873%,88.9932603201348%,82.9555694184515%,97.923875432526%,6.33175136011112%,3.05799648506151%,10.5734661401544%,25.3611556982343%,1.869494876865%,0.525394045534151%,3.37566844919786%,38.5159010600707%,100118.1,124719,54149.3,207577.7
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,5.33766270756786%,4.19523269012486%,5.99856034551708%,34.4234079173838%,84.5796655556505%,88.5305473540768%,78.0121193043205%,75.3280839895013%,6.81281857655277%,1.695247812267%,13.187020500566%,36.125126135217%,2.15560794880431%,0.179579271421242%,6.10309694340765%,0%,110988.6,135706.6,63646.1,67616.7
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,3.89144218189138%,1.13871057772816%,7.67506500493141%,13.4952766531714%,80.9610004936646%,82.4022346368715%,78.657440690151%,79.0951638065523%,6.42734136971784%,3.3741753063148%,9.00534215212414%,36.7041198501873%,2.5650406504065%,0.541069100391134%,3.50736890209071%,47.534516765286%,111844.5,136239.8,74024.2,26672.6
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,4.29031339655286%,3.21616278509089%,4.72750882603579%,45.5197132616487%,82.1062906274013%,83.5405481774513%,80.7683641279856%,100%,8.94091415830546%,2.54530969926309%,12.7933068342095%,29.0918163672655%,1.15169204070364%,0%,1.95952615992103%,26.9736842105263%,81840.3,112046.6,57801.8,16673.1
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,2.7668574272207%,2.63445498993385%,3.07172044525856%,0%,83.1107678509143%,82.6836109680005%,83.4205269666128%,83.6883749239197%,5.4493167362875%,4.30273156705689%,5.75996328310258%,12.4938026772434%,1.43289666956444%,1.02464691221268%,1.15165336374002%,9.30909090909091%,77287.9,93733.1,67748.4,26225.1
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,10.0997053243451%,4.64301357862462%,12.2956467272158%,11.2812659520163%,85.1161282477403%,85.9243397573162%,86.044438785255%,74.7830525778458%,16.3725318888695%,3.38941422080314%,17.1698364144168%,40.4892798240792%,3.04776417924663%,1.7943179930221%,2.70070292267851%,11.3993174061433%,49416.5,65590.3,43827.7,34523.8
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,5.93470095348165%,4.82513703389176%,6.67507519161735%,5.08149568552253%,86.738879260543%,88.760585065435%,86.6760577063195%,62.7996164908917%,3.75307724464676%,1.42827714069903%,5.1868544600939%,1.44385026737968%,0%,0%,0%,0%,72471.5,83786,66537.3,34964.7
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,9.71836734693878%,2.25503355704698%,9.8524378611906%,45.8008260670032%,81.0685390311321%,87.2580228856578%,80.5547004002127%,56.8130375735627%,31.3180785810299%,10.1530725430748%,32.1292446292446%,80.8320063694267%,13.5619076199765%,4.19049497140603%,15.2081147254285%,51.792828685259%,43998.7,62025.7,38491.1,24632.4
"Tompkins County PUMA, New York",Southern Tier,4.89621336017109%,2.88955223880597%,3.88434375218516%,21.4234104046243%,84.5670273772104%,85.3889078692632%,84.1517932170347%,86.2003179650239%,19.9044236121283%,10.9646146388754%,18.4411153169483%,41.5794902018565%,5.84487613413351%,4.32115230728194%,5.32264529058116%,14.8653633345629%,45209.6,59037.6,42209.3,34672.1
