,,Total RECODE2,,,,,,,,,BABS,,,,,,,,,,,,HS,,,,,,,,,,,
,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,Total,,,Part Time,,,Full Time,,,,,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,7217,3942,3275,1255,459,796,5962,3483,2479,4705,2212,2493,921,459,462,3784,0.804250797024442,1753,0.79249547920434,2031,0.81468110709988,2207,1730,477,240,0,240,1967,0.891255097417309,1730,1,237,0.49685534591195
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,5723,3928,1795,1535,717,818,4188,3211,977,2007,1367,640,393,0,393,1614,0.804185351270553,1367,1,247,0.3859375,3318,2227,1091,1078,717,361,2240,0.675105485232067,1510,0.678042209250112,730,0.669110907424381
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,8414,5391,3023,2243,883,1360,6171,4508,1663,1666,958,708,798,511,287,868,0.521008403361345,447,0.466597077244259,421,0.594632768361582,5011,3090,1921,1368,372,996,3643,0.727000598682898,2718,0.879611650485437,925,0.481520041644977
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,11824,6196,5628,1537,889,648,10287,5307,4980,2034,646,1388,205,0,205,1829,0.8992133726647,646,1,1183,0.852305475504323,7259,3484,3775,603,160,443,6656,0.916930706708913,3324,0.954075774971297,3332,0.882649006622517
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,6746,3476,3270,572,44,528,6174,3432,2742,5487,2605,2882,409,0,409,5078,0.925460178603973,2605,1,2473,0.858084663428175,1058,670,388,119,0,119,939,0.887523629489603,670,1,269,0.693298969072165
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,19473,11730,7743,3116,1483,1633,16357,10247,6110,7296,4257,3039,887,294,593,6409,0.878426535087719,3963,0.930937279774489,2446,0.804870023033893,8488,5115,3373,1183,796,387,7305,0.860626767200754,4319,0.844379276637341,2986,0.885265342425141
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,5671,2357,3314,1308,247,1061,4363,2110,2253,1884,682,1202,272,0,272,1612,0.855626326963907,682,1,930,0.773710482529118,2957,1380,1577,743,247,496,2214,0.748731822793372,1133,0.821014492753623,1081,0.685478757133798
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,6989,3397,3592,818,312,506,6171,3085,3086,2019,485,1534,67,0,67,1952,0.966815255076771,485,1,1467,0.95632333767927,3724,1843,1881,650,211,439,3074,0.825456498388829,1632,0.885512750949539,1442,0.766613503455609
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,15332,8344,6988,924,197,727,14408,8147,6261,13262,7254,6008,460,197,263,12802,0.965314432212336,7057,0.972842569616763,5745,0.956225033288948,1038,181,857,464,0,464,574,0.552986512524085,181,1,393,0.458576429404901
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,8657,4861,3796,2166,1056,1110,6491,3805,2686,5163,2849,2314,877,396,481,4286,0.830137516947511,2453,0.861003861003861,1833,0.792134831460674,2116,785,1331,654,79,575,1462,0.690926275992439,706,0.899363057324841,756,0.567993989481593
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,12230,6002,6228,2373,571,1802,9857,5431,4426,4026,1929,2097,932,249,683,3094,0.768504719324391,1680,0.870917573872473,1414,0.674296614210777,5824,2907,2917,1009,219,790,4815,0.826751373626374,2688,0.924664602683179,2127,0.729173808707576
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,25462,11429,14033,4823,1194,3629,20639,10235,10404,6559,2236,4323,1215,59,1156,5344,0.814758347309041,2177,0.973613595706619,3167,0.732593106638908,14774,6807,7967,2899,886,2013,11875,0.803776905374306,5921,0.869839870721316,5954,0.747332747583783
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,8951,4557,4394,1484,737,747,7467,3820,3647,5586,2632,2954,598,177,421,4988,0.892946652345148,2455,0.932750759878419,2533,0.857481381178064,2801,1501,1300,841,515,326,1960,0.699750089253838,986,0.656895403064624,974,0.749230769230769
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,15549,8127,7422,1944,476,1468,13605,7651,5954,10929,6121,4808,1510,349,1161,9419,0.861835483575807,5772,0.942983172684202,3647,0.758527454242928,3374,1716,1658,434,127,307,2940,0.871369294605809,1589,0.925990675990676,1351,0.814837153196622
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,7331,2137,5194,1055,0,1055,6276,2137,4139,6347,2137,4210,569,0,569,5778,0.910351347093115,2137,1,3641,0.864845605700713,716,0,716,218,0,218,498,0.695530726256983,0,#DIV/0!,498,0.695530726256983
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,14370,6595,7775,2248,908,1340,12122,5687,6435,10550,4844,5706,1511,385,1126,9039,0.856777251184834,4459,0.920520231213873,4580,0.802663862600771,3705,1636,2069,737,523,214,2968,0.801079622132254,1113,0.680317848410758,1855,0.896568390526824
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,19521,8675,10846,3083,0,3083,16438,8675,7763,18232,8238,9994,2524,0,2524,15708,0.861562088635366,8238,1,7470,0.747448469081449,1289,437,852,559,0,559,730,0.56633048875097,437,1,293,0.343896713615023
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,13517,6327,7190,1667,475,1192,11850,5852,5998,5638,2904,2734,871,475,396,4767,0.845512593118127,2429,0.836432506887052,2338,0.855157278712509,5169,2364,2805,451,0,451,4718,0.912749081060166,2364,1,2354,0.83921568627451
