,,Total RECODE2,,,,,,,,,BABS,,,,,,,,,,,,HS,,,,,,,,,,,
,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,Total,,,Part Time,,,Full Time,,,,,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,10677,6250,4427,1520,528,992,9157,5722,3435,4395,2615,1780,500,227,273,3895,0.886234357224118,2388,0.913193116634799,1507,0.846629213483146,5349,2790,2559,933,214,719,4416,0.825574873808188,2576,0.923297491039426,1840,0.719030871434154
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,19021,9713,9308,2347,818,1529,16674,8895,7779,10189,4891,5298,1141,356,785,9048,0.888016488369811,4535,0.927213248824371,4513,0.851830879577199,7452,3915,3537,1100,462,638,6352,0.852388620504562,3453,0.881992337164751,2899,0.819621147865423
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,16325,9906,6419,2675,1721,954,13650,8185,5465,5757,3420,2337,726,441,285,5031,0.873892652423137,2979,0.871052631578947,2052,0.878048780487805,7666,4718,2948,1637,968,669,6029,0.786459692147143,3750,0.79482831708351,2279,0.773066485753053
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,21987,13160,8827,2380,1079,1301,19607,12081,7526,7586,4190,3396,461,157,304,7125,0.939230160822568,4033,0.962529832935561,3092,0.910482921083628,12511,7644,4867,1631,742,889,10880,0.869634721445128,6902,0.902930402930403,3978,0.817341277994658
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,4903,2633,2270,1304,583,721,3599,2050,1549,2201,965,1236,181,0,181,2020,0.917764652430713,965,1,1055,0.853559870550162,2027,1170,857,1123,583,540,904,0.44597927972373,587,0.501709401709402,317,0.369894982497083
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,32088,18365,13723,5254,1399,3855,26834,16966,9868,15000,7511,7489,1693,580,1113,13307,0.887133333333333,6931,0.922779922779923,6376,0.851382026972894,13829,8690,5139,2979,719,2260,10850,0.784583122423892,7971,0.917261219792865,2879,0.560225724849192
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,30810,19097,11713,5054,2183,2871,25756,16914,8842,14130,8320,5810,1843,755,1088,12287,0.869568294409059,7565,0.909254807692308,4722,0.812736660929432,12957,8169,4788,2852,1290,1562,10105,0.779887319595585,6879,0.842085934630922,3226,0.673767752715121
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,34719,21098,13621,5361,1389,3972,29358,19709,9649,8850,5146,3704,836,42,794,8014,0.905536723163842,5104,0.99183832102604,2910,0.785637149028078,17630,9859,7771,3706,940,2766,13924,0.789790130459444,8919,0.904655644588701,5005,0.644061253377944
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,36688,24236,12452,4475,1925,2550,32213,22311,9902,13824,9596,4228,1541,948,593,12283,0.888527199074074,8648,0.901208837015423,3635,0.859744560075686,18600,11537,7063,2499,747,1752,16101,0.865645161290323,10790,0.935251798561151,5311,0.751946764830808
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,25124,13456,11668,3437,1037,2400,21687,12419,9268,8193,3311,4882,679,445,234,7514,0.917124374466007,2866,0.865599516762308,4648,0.952068824252356,14523,8679,5844,2297,503,1794,12226,0.841837086001515,8176,0.94204401428736,4050,0.693018480492813
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,22060,10562,11498,3767,716,3051,18293,9846,8447,13114,5912,7202,1626,327,1299,11488,0.876010370596309,5585,0.944688768606225,5903,0.819633435156901,7909,4037,3872,1959,389,1570,5950,0.752307497787331,3648,0.903641317810255,2302,0.59452479338843
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,36697,20378,16319,4765,1593,3172,31932,18785,13147,13575,7452,6123,1226,229,997,12349,0.909686924493554,7223,0.969269994632314,5126,0.837171321247754,20149,11257,8892,3120,1322,1798,17029,0.845153605637997,9935,0.882561961446211,7094,0.797795771479982
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,25300,12718,12582,4040,1863,2177,21260,10855,10405,11238,6079,5159,1274,640,634,9964,0.886634632496886,5439,0.894719526237868,4525,0.877107966660205,12386,5566,6820,2034,819,1215,10352,0.835782334894235,4747,0.852856629536471,5605,0.821847507331378
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,26344,14901,11443,4470,1166,3304,21874,13735,8139,7723,4102,3621,1646,405,1241,6077,0.786870387155251,3697,0.901267674305217,2380,0.657276995305164,15521,8479,7042,2566,545,2021,12955,0.834675600798918,7934,0.935723552305696,5021,0.713007668276058
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,15378,8937,6441,3132,1648,1484,12246,7289,4957,5597,2968,2629,865,363,502,4732,0.84545292120779,2605,0.877695417789757,2127,0.809052871814378,7206,4114,3092,1224,627,597,5982,0.830141548709409,3487,0.8475935828877,2495,0.806921086675291
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,15116,8667,6449,2241,879,1362,12875,7788,5087,6363,3238,3125,806,95,711,5557,0.873330190161873,3143,0.970660901791229,2414,0.77248,7014,4377,2637,794,275,519,6220,0.886797832905617,4102,0.937171578706877,2118,0.803185437997725
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,13374,7942,5432,1408,481,927,11966,7461,4505,6448,3537,2911,357,88,269,6091,0.944633995037221,3449,0.975120158326265,2642,0.907591892820337,6524,4070,2454,994,336,658,5530,0.847639484978541,3734,0.917444717444717,1796,0.731866340668297
NEW YORK,,885435,479710,405725,142456,49002,93454,742979,430708,312271,378437,190950,187487,45732,14734,30998,332705,0.879155579396306,176216,0.922838439382037,156489,0.834665870166998,401935,221645,180290,76219,26036,50183,325716,0.810369835918743,195609,0.882532879153601,130107,0.721654001885851
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,1143,424,719,391,0,391,752,424,328,760,252,508,320,0,320,440,0.578947368421053,252,1,188,0.37007874015748,244,127,117,24,0,24,220,0.901639344262295,127,1,93,0.794871794871795
"Jefferson & Lewis Counties PUMA, New York",North Country,979,652,327,556,392,164,423,260,163,368,260,108,108,0,108,260,0.706521739130435,260,1,0,0,585,392,193,422,392,30,163,0.278632478632479,0,0,163,0.844559585492228
"St. Lawrence County PUMA, New York",North Country,1491,365,1126,157,157,0,1334,208,1126,953,160,793,0,0,0,953,1,160,1,793,1,490,157,333,157,157,0,333,0.679591836734694,0,0,333,1
NORTH COUNTRY,,3613,1441,2172,1104,549,555,2509,892,1617,2081,672,1409,428,0,428,1653,0.794329649207112,672,1,981,0.696238466997871,1319,676,643,603,549,54,716,0.542835481425322,127,0.187869822485207,589,0.91601866251944
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,545,442,103,185,185,0,360,257,103,167,167,0,0,0,0,167,1,167,1,0,#DIV/0!,378,275,103,185,185,0,193,0.510582010582011,90,0.327272727272727,103,1
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,2690,1689,1001,445,86,359,2245,1603,642,1785,923,862,359,0,359,1426,0.798879551820728,923,1,503,0.583526682134571,804,665,139,86,86,0,718,0.893034825870647,579,0.870676691729323,139,1
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,1331,755,576,170,0,170,1161,755,406,1114,690,424,67,0,67,1047,0.939856373429084,690,1,357,0.841981132075472,217,65,152,103,0,103,114,0.525345622119816,65,1,49,0.322368421052632
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,805,438,367,91,29,62,714,409,305,631,409,222,0,0,0,631,1,409,1,222,1,174,29,145,91,29,62,83,0.477011494252874,0,0,83,0.572413793103448
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,232,201,31,164,164,0,68,37,31,164,164,0,164,164,0,0,0,0,0,0,#DIV/0!,68,37,31,0,0,0,68,1,37,1,31,1
"Tompkins County PUMA, New York",Southern Tier,2828,1626,1202,195,162,33,2633,1464,1169,2444,1275,1169,162,162,0,2282,0.933715220949263,1113,0.872941176470588,1169,1,384,351,33,33,0,33,351,0.9140625,351,1,0,0
SOUTHER TIER,,,5151,3280,1250,626,624,7181,4525,2656,6305,3628,2677,752,326,426,5553,0.880729579698652,3302,0.910143329658214,2251,0.840866641763168,2025,1422,603,498,300,198,1527,0.754074074074074,1122,0.789029535864979,405,0.671641791044776
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,402,206,196,44,44,0,358,162,196,350,162,188,0,0,0,350,1,162,1,188,1,52,44,8,44,44,0,8,0.153846153846154,0,0,8,1
"Chautauqua County PUMA, New York",Western NY,364,296,68,0,0,0,364,296,68,100,32,68,0,0,0,100,1,32,1,68,1,203,203,0,0,0,0,203,1,203,1,0,#DIV/0!
"Erie County (Central) PUMA, New York",Western NY,2896,1624,1272,525,326,199,2371,1298,1073,1079,515,564,180,90,90,899,0.833178869323448,425,0.825242718446602,474,0.840425531914894,1513,935,578,168,124,44,1345,0.888962326503635,811,0.867379679144385,534,0.923875432525952
"Erie County (North Central) PUMA, New York",Western NY,3584,1610,1974,563,157,406,3021,1453,1568,2737,1472,1265,157,157,0,2580,0.942637924735111,1315,0.893342391304348,1265,1,346,138,208,102,0,102,244,0.705202312138728,138,1,106,0.509615384615385
"Erie County (Northeast) PUMA, New York",Western NY,786,423,363,274,0,274,512,423,89,403,272,131,42,0,42,361,0.895781637717122,272,1,89,0.679389312977099,383,151,232,232,0,232,151,0.394255874673629,151,1,0,0
"Erie County (Northwest) PUMA, New York",Western NY,1976,1224,752,201,0,201,1775,1224,551,541,313,228,134,0,134,407,0.752310536044362,313,1,94,0.412280701754386,1298,911,387,0,0,0,1298,1,911,1,387,1
"Erie County (South) PUMA, New York",Western NY,1055,816,239,145,145,0,910,671,239,606,367,239,145,145,0,461,0.760726072607261,222,0.604904632152589,239,1,449,449,0,0,0,0,449,1,449,1,0,#DIV/0!
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,883,520,363,212,52,160,671,468,203,286,53,233,160,0,160,126,0.440559440559441,53,1,73,0.313304721030043,469,421,48,52,52,0,417,0.889125799573561,369,0.876484560570071,48,1
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,3631,2109,1522,1439,515,924,2192,1594,598,1604,994,610,553,328,225,1051,0.655236907730673,666,0.670020120724346,385,0.631147540983607,1467,928,539,378,0,378,1089,0.742331288343558,928,1,161,0.298701298701299
"Niagara County (North & East) PUMA, New York",Western NY,332,125,207,88,0,88,244,125,119,0,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,88,0,88,88,0,88,0,0,0,#DIV/0!,0,0
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,612,310,302,82,82,0,530,228,302,18,0,18,0,0,0,18,1,0,#DIV/0!,18,1,398,266,132,82,82,0,316,0.793969849246231,184,0.691729323308271,132,1
WESTERN NY,,16521,9263,7258,3573,1321,2252,12948,7942,5006,7724,4180,3544,1371,720,651,6353,0.822501294665976,3460,0.827751196172249,2893,0.816309255079007,6666,4446,2220,1146,302,844,5520,0.828082808280828,4144,0.932073774179037,1376,0.61981981981982
