,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,10403,4089,6314,438,0,438,15451,6904,8547,1382,927,455,1582,705,877,0,0,0,4286,2285,2001,391,324,67
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,17452,9523,7929,402,121,281,19066,10624,8442,380,235,145,2653,1348,1305,73,0,73,4578,2651,1927,127,0,127
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,17968,9380,8588,467,259,208,11522,7187,4335,720,413,307,5665,3412,2253,66,0,66,2277,1202,1075,0,0,0
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,20610,11792,8818,770,305,465,10825,5976,4849,475,245,230,4579,2240,2339,144,0,144,1830,936,894,0,0,0
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,24925,13848,11077,992,210,782,4450,2155,2295,279,0,279,5685,2669,3016,117,117,0,4427,3074,1353,405,64,341
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,18516,8127,10389,154,154,0,17172,9711,7461,1654,799,855,2739,1071,1668,211,129,82,3469,1671,1798,94,0,94
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,22933,11727,11206,295,82,213,22844,12813,10031,1149,598,551,767,315,452,75,0,75,2788,1387,1401,0,0,0
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,23484,12825,10659,100,0,100,14885,7185,7700,1058,646,412,2939,951,1988,0,0,0,2735,1546,1189,130,0,130
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,16392,8747,7645,497,72,425,15862,9073,6789,1301,930,371,5123,2903,2220,145,0,145,5338,2892,2446,149,149,0
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,16446,7596,8850,988,311,677,17236,9369,7867,1064,398,666,4023,1733,2290,0,0,0,5214,2409,2805,536,0,536
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,15200,8013,7187,770,325,445,13099,7179,5920,882,730,152,9124,4622,4502,175,0,175,4140,1650,2490,0,0,0
