Unemployed-FB Not White+W Hispanic,,,,
         ,Total Unemp (%),BABS-Unemp (%),HS-Unemp (%),HSINC Unemp (%)
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",6.19598295800365%,1.37844611528822%,0%,31.000699790063%
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",2.18239745121466%,2.25138299240962%,0%,10.3017689906348%
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",2.3499491353001%,3.16317626527051%,2.08282877209978%,0%
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",4.74629764505948%,0%,9.12272515165656%,0%
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",3.12989045383412%,3.47123157394199%,3.25891711573005%,0%
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0%,0%,0%,0%
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",7.63574660633484%,0%,24.6800731261426%,0%
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",6.95711678832117%,13.4566326530612%,3.58915616647575%,0%
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",6.41532016756433%,0%,10.8370400323494%,0%
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",2.33435087089244%,0%,5.81135449262405%,0%
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",4.28339423467316%,8.52649006622517%,0%,6.47482014388489%
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",7.83854166666667%,0%,12.1267519804997%,20.4408817635271%
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.72774869109948%,4.25257731958763%,0%,0%
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",9.12034538586077%,11.9014084507042%,0%,#DIV/0!
"Suffolk County (East) PUMA, New York",0%,0%,0%,0%
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",4.86388384754991%,9.72222222222222%,0%,18.7134502923977%
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.44255538382277%,3.80090497737557%,0%,0%
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",3.79047117662543%,0%,8.49557522123894%,0%
"Suffolk County (Central)--Islip Town (East) PUMA, New York",0%,0%,0%,0%
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.77981154554316%,2.81853281853282%,0.534880216965497%,0%
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",1.29090363254278%,0%,2.70440251572327%,0%
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",5.8411214953271%,8.68544600938967%,6.64335664335664%,0%
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",7.42136729919418%,11.3915857605178%,0%,19.8293172690763%
